label,ComplementNB_pred,overall,summary,text_preview
Neutral,Positive,3.0,Three Stars,Three Stars. works as described
Neutral,Positive,3.0,"Came fast, in new condition except the metal ends not quite fit","Came fast, in new condition except the metal ends not quite fit. The item came very fast and in new condition, the only thing I didn't expect was that all 3 met"
Positive,Negative,5.0,Buy only authentic parts.,Buy only authentic parts.. Very good.  Beware of imitations.
Positive,Negative,5.0,Last of the built to last,"Last of the built to last. I want:

1.  I want WATER - lots of it.

2.  I want HOT WATER - no eco friendly making of hot water (stupid government regulation; Sp"
Positive,Neutral,4.0,"Nice, but needs a two speed gear box.","Nice, but needs a two speed gear box.. I've used my Makita impact driver to drill holes in places I couldn't fit a regular drill simply by using hex drill bits."
Negative,Positive,2.0,overpriced,overpriced. This filter was delivered quickly and is easy to install.  Seems to work the same as all the other water filters I have used on various refrigerator
Positive,Negative,5.0,Works fine out of the box with my GE Fridge,Works fine out of the box with my GE Fridge. Bought this for my GE refrigerator as a replacement for my MWF filter. Was nervous based on some of the reviews on 
Negative,Neutral,1.0,they are very good quality. BUT,"they are very good quality. BUT. Yes, they are very good quality.  BUT, no, they do not have an open space to fit around the heating elements.  They have a hole"
Neutral,Positive,3.0,Cheap pricing and quality,Cheap pricing and quality. Thin low grade stainless. Had some kinks on the front face when received. However lightweight enough I could install it myself. Easy 
Positive,Negative,5.0,I am a firm believer in purchasing OEM filters. ...,I am a firm believer in purchasing OEM filters. .... I am a firm believer in purchasing OEM filters.  We experienced a leak to our icemaker and our brand new ho
Neutral,Positive,3.0,I needed to replace a burner after some plastic melted ...,"I needed to replace a burner after some plastic melted .... I needed to replace a burner after some plastic melted onto it. This was a cheap replacement, but it"
Positive,Neutral,4.0,Don't fit in any Washer I know. It's a Oven Over Temp Limiter,Don't fit in any Washer I know. It's a Oven Over Temp Limiter. Not much to write about part but here's the Spec's:  WHIRLPOOL Built-in Ovens  PROBLEM: OVEN WILL
Neutral,Negative,3.0,The door is poorly designed.,"The door is poorly designed.. The problem here is the design of the door.  I expect that I will be replacing the catch again in the future,  This product has so"
Negative,Positive,1.0,Not a good product.,Not a good product.. They fit loose. Not a good product.
Positive,Negative,4.0,Arrived broken but I fixed it,Arrived broken but I fixed it. The unit arrived with the inside of the lid pushed in. I was able to carefully extract it and reposition it. The water hopper had
Neutral,Negative,3.0,It's okay.,"It's okay.. The good news is that WHEN IT WORKS the fans seem to do a good job, but then there is the bad:  The ""30 inch"" model is only 29 inches, which leaves "
Negative,Positive,2.0,Worked like a charm for 30 seconds then made a weird ...,Worked like a charm for 30 seconds then made a weird .... Worked like a charm for 30 seconds then made a weird noise and stopped dispensing water completely. Ha
Neutral,Negative,3.0,Three Stars,Three Stars. It is not dual voltage
Neutral,Positive,3.0,Looks nice but feels cheap.,"Looks nice but feels cheap.. Fits snug in the drain, and holds water but the stopper operation is not as smooth as I'd like."
Negative,Positive,2.0,Not worth it!,Not worth it!. Save your money and buy Ice trays at the Dollar Store!!  This would be fine if I had a bar where I just needed small ice cubes. They turn to wate
Neutral,Negative,3.0,Placement of the lamp difficult due to poor design by GE,Placement of the lamp difficult due to poor design by GE. First bulb broke while inserting. Second went in ok. Prongs were crooked and the bulb itself had a cur
Neutral,Positive,3.0,You Might Like It !,You Might Like It !. This item is exactly what was described but I don't really like it for my hair.
Positive,Negative,5.0,It actually works like it's supposed to.,It actually works like it's supposed to.. My old indoor/outdoor thermometer died and I wanted to replace it. My past experience with wireless I/O thermometers h
Negative,Neutral,2.0,Two Stars,Two Stars. Bottom wheels were slightly too big.
Positive,Negative,4.0,Four Stars,"Four Stars. First one lasted for 18 months, the second one lasted only 18 days"
Positive,Negative,4.0,buyer beware:,"buyer beware:. bought three of these products recently.  buyer beware:  great product, however, Instructions not clear.  Got penis stuck in ceiling pan."
Positive,Negative,4.0,These units are a direct fit for our refrigerator. ...,"These units are a direct fit for our refrigerator. .... These units are a direct fit for our refrigerator.  My only complaint is that there is a ""plastic"" taste"
Negative,Neutral,2.0,Still figuring out if it works!,"Still figuring out if it works!. Got this for a good price, free shipping, with fast delivery from Amazon.com.  Arrived in good-condition outer box, but upon un"
Positive,Neutral,5.0,It works!,It works!. I got this because the piece of flex tubing to vent my dryer was all bent up and was a fire hazard. After we moved I couldn't get Kenmore to come out
Negative,Positive,1.0,Don't look new as described,"Don't look new as described. Though in Aprilaire boxes, they look used - I see tons of water deposits throughout both.  I will stick to the over priced filters "
Positive,Negative,4.0,"Ice ""maker"", but not and ice ""keeper"". Big and noisy, but FAST!","Ice ""maker"", but not and ice ""keeper"". Big and noisy, but FAST!. It takes up more counter space than I had anticipated and it's a bit on the noisy side.  It doe"
Neutral,Positive,3.0,Nice but dosen't fit!,"Nice but dosen't fit!. Nicely manufactured and the price is right, but the 8 inch doesn't fit my older Kenmore range. Need to return them. Wish they fit right b"
Positive,Neutral,5.0,"It took 3 extra days to get here, but ...","It took 3 extra days to get here, but .... It took 3 extra days to get here, but the cord took care of the the problem.  We bought a new stackable set of LG lau"
Positive,Negative,4.0,One Star,"One Star. Product was received, however the outside sensor was not included.

They ended up shipping an entire new package out and we returned the one with the "
Positive,Negative,5.0,Worth it to get Whirlpool,Worth it to get Whirlpool. I will always order Whirlpool parts from now on.  Ordered an after market part and it lasted 8 months or so before it started to go b
Negative,Positive,2.0,Would not recommend these filters,Would not recommend these filters. Even after purging a gallon of water still had floaties from water.  Had to swap to normal samsung water filter and after pur
Neutral,Negative,3.0,too toght,too toght. the opening is soo tight that I have to take it out to get all the food down the drain- however- better than too wide!!
Neutral,Negative,3.0,OK but check accuracy,OK but check accuracy. I bought four of these and set them all up side by side to check accuracy/consistency: one of them had a humidity reading 13% lower than 
Positive,Neutral,5.0,"If you use a self tanner, you need this","If you use a self tanner, you need this. Use it a few times a week for my face. Alternate days with another cleanser. What it's as good for, maybe even better, "
Neutral,Negative,3.0,Decent fridge..,"Decent fridge... Use
- under counter fridge in an upstairs room
- used to store waters and sodas for kids

Pros
- holds a lot of cans

Cons
- compressor is kind"
Positive,Neutral,4.0,"Works ok, however it should be included with the hood.","Works ok, however it should be included with the hood.. It works as it should. I still think this should be included with the hood range."
Neutral,Negative,3.0,Three Stars,Three Stars. It didn't work for our washer.
Positive,Negative,4.0,Hard to rate,Hard to rate. This is an item that is hard to review 'cause if it is working well you don't notice anything. But if you wrap and cover everything and keep the f
Positive,Negative,5.0,"They look good, are effective","They look good, are effective. I figured I'd give it a few weeks of use before writing a review on these seals. My biggest concern was warping when close to hig"
Positive,Negative,5.0,Initially I tried one of the cheaper alternative generic products ...,Initially I tried one of the cheaper alternative generic products .... Initially I tried one of the cheaper alternative generic products.  Water all over the to
Negative,Neutral,2.0,Hard to Open and Close,"Hard to Open and Close. Over the range 40 watt light bulb burned out in only 3 months. Extremely hard to open and close door. Otherwise machine works OK, nothin"
Neutral,Positive,3.0,work well,work well. Used to replace old burners that were showing holes from cleanning .....fit the bill for what they were replacing. They look as good as new.
Neutral,Positive,3.0,Three Stars,Three Stars. Had to modify with a dermal tool
Positive,Negative,4.0,Decent Machine with Bad Hoses,Decent Machine with Bad Hoses. Great except for the sub-par hoses that don't fit any faucet and are too short. Otherwise it is a great product.
Positive,Negative,5.0,No longer adding rinse agent weekly,No longer adding rinse agent weekly. When our Bosch dishwasher was new the rinse agent dispenser only required refilling approx once a month. As the dishwasher 
Positive,Neutral,5.0,Five Stars,Five Stars. still going strong after like 2 years just the the small medium large button doesn't light up anymore
Positive,Negative,5.0,... frig and the same hose was 20$ more at Best buy. Returned the one from best buy,... frig and the same hose was 20$ more at Best buy. Returned the one from best buy. Purchased a new frig and the same hose was 20$ more at  Best buy. Returned 
Positive,Neutral,4.0,so I do like this machine,"so I do like this machine. I prefer this style of washer, so I do like this machine, but I lived in Belize Central America for several years and they have full "
Negative,Neutral,2.0,"Extra bars show up in the numbers (3s can look like 8s, etc","Extra bars show up in the numbers (3s can look like 8s, etc. The data face is hard to read. Extra bars show up in the numbers (3s can look like 8s, etc.) I like"
Positive,Neutral,5.0,The pictures in the manual aren't real clear BUT there are several good videos out there about how to instal the kit,The pictures in the manual aren't real clear BUT there are several good videos out there about how to instal the kit. Much needed upgrade to the original set th
Neutral,Negative,3.0,Misleading Picture.,"Misleading Picture.. The part worked out well, but the pic for this is misleading. I only received one of the parts pictured. I thought I was getting all three."
Neutral,Positive,3.0,OK for replacement,"OK for replacement. The felt seal on our old lint screen pulled out of the slot.  This one is slightly too narrow for our Whirlpool Duet electric dryer, but wor"
Neutral,Negative,3.0,fair but not right out the box,fair but not right out the box. This beer kegorator does work well but not right out of the box. so if you do not have time to tweek it I am not sure which way 
Neutral,Negative,3.0,Does NOT fit the revised EVGA 970 SSC (04G-P4-3975-KR),Does NOT fit the revised EVGA 970 SSC (04G-P4-3975-KR). This backplate does not fit the revised version of the EVGA 970 SSC (04G-P4-3975-KR) as I later found ou
Positive,Negative,4.0,... Valve Y-30128-35AF This seems to be one of the better brand's ive used,"... Valve Y-30128-35AF This seems to be one of the better brand's ive used. This review is for item Gas Range Oven Valve Y-30128-35AF
 This seems to be one of t"
Negative,Positive,1.0,Not a genuine Whirlpool part!,"Not a genuine Whirlpool part!. This just came today and it is not a factory Whirlpool part,  even though it was advertised as such. I will install it and we wil"
Positive,Neutral,5.0,I was so happy to receive these,I was so happy to receive these. I was so happy to receive these.  My stove is over 40 years old & I searched all over for drip pans & rings in a set.
Positive,Negative,5.0,I am happy with the quality and reliability of this part,I am happy with the quality and reliability of this part. I purchased the Ice Maker 1st and Then the sensors since I was not sure which part was faulty.  Later 
Negative,Neutral,1.0,This is a knock off,This is a knock off. This filter is a little smaller than the original.  it also lacks the wire support so it sags and sometimes causes the unit to drip water o
Neutral,Negative,3.0,Check your water pressure,"Check your water pressure. Beware of the item itself requires high water pressure from your tap to work properly, so the item itself is not pour it just doesn't"
Positive,Neutral,5.0,"I was hoping I would like this, and that it would perform","I was hoping I would like this, and that it would perform. I was hoping I would like this, and that it would perform. It does that and more. I'm dealing with ca"
Positive,Neutral,5.0,New and Better design than original,"New and Better design than original. Much better design than original. This one has a steel locking catch, not a pop-metal one. Easy to install. Don't believe t"
Positive,Neutral,4.0,Smokey cover makes reading difficult,"Smokey cover makes reading difficult. The only negative remark that I have is regarding the display. The display has a smokey cover on it, so it makes reading i"
Neutral,Negative,3.0,"Out of 2, one leaked, the other one is O.K.","Out of 2, one leaked, the other one is O.K.. I bought 2 of these, the first one started leaking after only 1 week. I replaced it with the other one, and so far "
Neutral,Positive,3.0,Three Stars,"Three Stars. Works OK, it's silly that GE has such a proprietary bulb."
Negative,Positive,1.0,Waste of money !!,Waste of money !!. My husband is somewhat handy and after looking up a you tube video on our kenmore dryer that was no longer drying cloths he was able to find 
Positive,Neutral,4.0,Looks good,Looks good. This is a sturdy range hood. The stainless steeel goes with my appliances and it is nice looking. The only problem is the filters. They came bent an
Neutral,Negative,3.0,Was unable to return so I have a nice filter sitting in storage until the day comes it ...,Was unable to return so I have a nice filter sitting in storage until the day comes it .... Bought because of description received it and did not fit. Was unabl
Positive,Negative,5.0,They are decent hygrometers for the price. I had ...,They are decent hygrometers for the price. I had .... They are decent hygrometers for the price. I had one that didn't work and was refunded for it with no issu
Neutral,Positive,3.0,Three Stars,Three Stars. Arrived quickly but not as universal as stated. Did not fit my ge range.
Positive,Negative,4.0,Good replacement for a 30 year old Broan,Good replacement for a 30 year old Broan. I bought this to replace a 30 old Broan that was the same shape and dimensions.  The new one fit exactly like the prev
Positive,Negative,4.0,Good hood with brittle knobs,Good hood with brittle knobs. This hood was super easy to install and it's venting capabilities are stellar for my range.  I've had it for over a year and a hal
Neutral,Positive,3.0,Three Stars,Three Stars. They didn't fit exactly like the ones I had before but it works
Positive,Neutral,4.0,Four Stars,Four Stars. Serves the purpose but light is ugly as exposed.
Negative,Positive,1.0,It's a toy,It's a toy. This is 2 small my 10 yrs old daughter picked the box up from outside the house. This is a toy . No good at all.
Negative,Positive,1.0,do it yourself eawsy 1/4 in nut driver,"do it yourself eawsy 1/4 in nut driver. same a repatr used ,i took it appart and assembled still charged 153.00 for servise call and 1.25 in parts 1screw. do yo"
Neutral,Positive,3.0,Three Stars,Three Stars. expensive but works.
Positive,Neutral,4.0,Four Stars,Four Stars. catches water....
Positive,Negative,5.0,"Ours were old and needed replacement. Unfortunately, the ...","Ours were old and needed replacement. Unfortunately, the .... Ours were old and needed replacement.  Unfortunately, the fan doesn't provide much suction any mor"
Positive,Negative,5.0,In doubt? Buy it,"In doubt? Buy it. Better than I imagined,"
Positive,Neutral,5.0,Simple fix for wobbly pans,"Simple fix for wobbly pans. If you have an electric stove and your burners are wobbly, it's because you have the wrong drip pans. These fit my Whirlpool perfect"
Positive,Neutral,5.0,OK heats well,OK heats well. Fit my stove but was 1/8 inch too high on back Supports.  Required modifications to supports or drip pan
Neutral,Negative,3.0,Works fine but is very noisey,Works fine but is very noisey. The frig when set on the coldest setting goes down to 34 which is fine by me. Set up was easy however it did not have all the ins
Neutral,Negative,3.0,Failed inlet valve couple loads,Failed inlet valve couple loads. Questionable valve faiked after a few loads and machine iverflowed. Lg has a major design defect w their washers
Positive,Neutral,5.0,"Four months of mold, calcium and lime free goodness in the humidifier.","Four months of mold, calcium and lime free goodness in the humidifier.. We have a large Honeywell humidifier (Honeywell QuietCare Humidifier HCM-6009, 9-Gallon)"
Neutral,Negative,3.0,Three Stars,Three Stars. It said it should last 6 months. One person living in my home and it barely lasted 5.
Positive,Negative,5.0,I was disgusted by all the crap that had fallen down between ...,"I was disgusted by all the crap that had fallen down between .... I bought a new Kitchen Aid slide-in range. When I pulled the old, dead one out, I was disguste"
Neutral,Negative,3.0,It is useful for camping,"It is useful for camping. I bought this product thinking it would save water and money.

It does both of those things. But. A honest break down of this mechanis"
Positive,Negative,5.0,This was easy,"This was easy. Installed in like a minute.  Our latch had been broken for probably a year, but the dishwasher still worked--you just yanked the door open.  Then"
Positive,Neutral,4.0,Does not block fluoride,Does not block fluoride. I'm sure the water filter is good however it does not  lock fluoride.
Positive,Negative,5.0,Works well! I cant compare it to any other ...,Works well! I cant compare it to any other .... Works well!  I cant compare it to any other products but is seems to still be working after 2 months.
Positive,Negative,4.0,Four Stars,Four Stars. On our second one. 1st lasted about 1.5 years. For the price it's a decent buy.
Positive,Neutral,5.0,"Still in ""honeymoon"" phase, but very pleased so far!","Still in ""honeymoon"" phase, but very pleased so far!. I thought I would write a little (well, no so little) about MY experience & costs since so few remarks or "
Negative,Neutral,2.0,"Not Stainless, just chrome plated","Not Stainless, just chrome plated. They are not stainless as stated. It is chrome plated, so what can you expect for the money.
I wish they would create a large"
Positive,Negative,5.0,No crummy taste and no rust!,No crummy taste and no rust!. Smart buy! Takes ALL the rust out of our water!
Neutral,Positive,3.0,nice look,nice look. haven't had long. works great. installation is not flexible or installer friendly and difficult.
Positive,Negative,5.0,Exactly as advertised,Exactly as advertised. Have a 10 year old fridge bought at the local Sears scratch & dent outlet store (never did find a scratch or dent). Ice maker stopped wor
Positive,Negative,5.0,GOOD FOR WHAT ITS SUPPOSE TO DO,"GOOD FOR WHAT ITS SUPPOSE TO DO. Its good for what its suppose to do, although its true frigs from the early early days lasted forever and ever, why would you w"
Positive,Neutral,5.0,Satisfied so far!,Satisfied so far!. We purchased this Amana ADB1100AWW dishwasher yesterday & installed it today. We only run 1 or 2 loads a week so we always lightly rinse the 
Negative,Positive,2.0,I had to return it.,"I had to return it.. It looked like what my old one was but didn't fit.  Great value, wish it would of worked because it was a great deal."
Positive,Negative,5.0,Washer handle,"Washer handle. So someone visiting not used to this front load broke my washer handle, handle is not covered by warranty, I checked parts and I thought the pric"
Neutral,Positive,3.0,Three Stars,Three Stars. work fine but break way too easy.
Neutral,Negative,3.0,"They work and are cheap, but even with bacteriostat ...","They work and are cheap, but even with bacteriostat .... They work and are cheap, but even with bacteriostat they still crust up and don't wick as well as the o"
Positive,Neutral,5.0,They work fine,They work fine. Does what it is suppose to do...they work
Positive,Neutral,5.0,"Solid, heavy duty vent with a design to keep rodents out","Solid, heavy duty vent with a design to keep rodents out. I debated whether to spend so much on a vent but all other products are cheap plastiic. I was desperat"
Positive,Negative,5.0,"First day using, and I'm impressed","First day using, and I'm impressed. Ok, I know one day isn't enough time to fully evaluate a product like this, but my initial reaction is one of pleasant surpr"
Positive,Negative,5.0,So quiet yet so powerful,So quiet yet so powerful. We purchased this KitchenAid Superba 3/4 hp to replace our Kenmore 1/2 hp.  Our Kenmore was SO loud I wouldn't dare run it while our t
Neutral,Positive,3.0,Sometimes it works just fine. Every once in awhile,"Sometimes it works just fine. Every once in awhile. Sometimes it works just fine.  Every once in awhile, it looks like the dished haven't even gotten wet.  It i"
Positive,Neutral,5.0,1) The Shop vac attachments which come with the kit (they allow you to blow air out the system or suck the material back to you,1) The Shop vac attachments which come with the kit (they allow you to blow air out the system or suck the material back to you. We had a Kenmore dryer for year
Positive,Negative,4.0,Decent Washer with Poor Rack Design,Decent Washer with Poor Rack Design. We bought this Bosch Ascenta SHE3AR75UC dishwasher after our old 10 year old Bosch dishwasher started to turn itself off mi
Positive,Neutral,4.0,Very good at reducing the noise but you do have to ...,Very good at reducing the noise but you do have to .... Very good at reducing the noise but you do have to give it some poking for it to drain properly.
Positive,Negative,5.0,"Bearing fit well, "" how to"" video link did ...","Bearing fit well, "" how to"" video link did .... Bearing fit well,"" how to"" video link did not work. I have done this job before so I didn't need it but others m"
Neutral,Negative,3.0,Great oven. Very powerful middle burner for boiling,Great oven. Very powerful middle burner for boiling. Great burner.  Very powerful middle burner for boiling.  Really like the blue lights under the knobs.  Its 
Positive,Negative,5.0,We went back to what works. A top loader that uses plenty of water and an agitator!,We went back to what works. A top loader that uses plenty of water and an agitator!. Top loading HE washers that actually work are a myth. After dealing with se
Positive,Negative,5.0,Will Become One of Your Best Kitchen Tools for Life!!,"Will Become One of Your Best Kitchen Tools for Life!!. This is the BEST for anyone who has a garbage disposal.  I've been using Mr. Scrappy for years.  I love, "
Neutral,Positive,3.0,Great Filter - Extremely Overpriced,"Great Filter - Extremely Overpriced. Does a very good job filtering water, but, very over priced compared to other filters that do the same type of filtering. H"
Positive,Neutral,5.0,"Served a second, unanticipated purpose","Served a second, unanticipated purpose. When I first got these burner covers I thought, wow...cheap. They are very lightweight and with a turned edge and seemed"
Neutral,Positive,3.0,Works fine and fits fine,Works fine and fits fine. Works fine and fits fine. Lasts longer than non-holmes filters. Just hate that they only still last about a month. Gets expensive over
Positive,Negative,4.0,Four Stars,"Four Stars. One out of three came with a major dent, where the white enamel had rubbed off."
Positive,Negative,5.0,Arrived as planned and had customer service contact me to ...,Arrived as planned and had customer service contact me to .... Arrived as planned and had customer service contact me to make sure product was what I had expect
Positive,Negative,5.0,Like he said,"Like he said. Purchased based on a recommendation from a fellow home brewer.  Like he said, this thing is rock-solid and is nearly perfect at keeping the temper"
Neutral,Positive,3.0,The fit in the stove is just a tad bit ...,The fit in the stove is just a tad bit .... The fit in the stove is just a tad bit off - which is weird. The plates fit in the stove but slide around and there 
Positive,Neutral,5.0,Five Stars,Five Stars. tout tait ok
Positive,Negative,4.0,Great for a Countertop Dishwasher (and for the Price),"Great for a Countertop Dishwasher (and for the Price). Sure, this is not the best dishwasher out there, and certainly not comparable with high-end full-size uni"
Positive,Negative,4.0,We'll see...,We'll see.... I haven't yet installed them.  I'm having week-long guests the end of the month and I thought I'd hold on to them so that my stove will look brand
Positive,Neutral,4.0,Four Stars,Four Stars. apres un changement de connecteur ok parfait !
Positive,Neutral,5.0,"Great Cooktop; very versatile and powerful at a fair price!  If I had another kitchen, I'd buy 2","Great Cooktop; very versatile and powerful at a fair price!  If I had another kitchen, I'd buy 2. This is a really great cooktop that is well designed, laid out"
Neutral,Positive,3.0,a+,"a+. too expensive, you can by unbranded for 1/3 of GE price"
Neutral,Negative,3.0,you pay for what you get,you pay for what you get. Lasted for about 5 minutes than fried. A piece of trash
Positive,Negative,5.0,I was worried at first that the 10 foot cord ...,I was worried at first that the 10 foot cord .... I was worried at first that the 10 foot cord might be dangerous or overheat when plugged in.  I have had it a 
Positive,Neutral,5.0,Soma Water Pitcher Necessity,"Soma Water Pitcher Necessity. I love my Soma water pitcher, and these are necessary unless you don't need it filtered."
Neutral,Negative,3.0,Who knows?,Who knows?. I replaced my water filter on July 1st.  My GE refridge still states that it's time to replace filter.  I don't know if this is a filter error or if
Positive,Negative,5.0,Original part,"Original part. Exact same filter that came with my Samsung fridge. Made in Korea and it cost $15 more than the knockoff ""Superco"" made in China brand.

I don't "
Positive,Negative,5.0,"Shorter, but seemed to work, until seal leaked...Fixed!","Shorter, but seemed to work, until seal leaked...Fixed!. Update*** customer service read this review and sent me another!  That's a company standing behind thei"
Positive,Negative,4.0,Good product except for poor stand.,Good product except for poor stand.. Works great.  The only weakness is the little plastic stand on the back is imprecise.  The unit sometimes tips over forward
Positive,Negative,5.0,Makes the best ice!,Makes the best ice!. This is the second one we have purchased. We use it in our home and it runs constantly. The first one lasted years and we immediately bough
Neutral,Positive,3.0,poor fit,"poor fit. Can't beat this price, but didn't fit my washing machine perfectly, even though this was the recommended part number. Handle rubs on bottom"
Positive,Neutral,4.0,Stains,"Stains. We use this with our Vicks humidifier. If you use it with the Vicks vapo pads, it will stain immediately, and since it needs to be thrown out after gett"
Positive,Negative,5.0,EdgeStar 12Lbs. Built-In Ice Maker - Stainless Steel,EdgeStar 12Lbs. Built-In Ice Maker - Stainless Steel. I bought this as a gift for my husband. We are ALWAYS running out of ice in our refrigerator. He is a plum
Positive,Neutral,5.0,Great Replacement Grates,Great Replacement Grates. I'm thrilled!  These fit perfectly.  The range looks new again.  We have a Frigidaire GLGF376 DSF.  These are slightly different than 
Positive,Negative,5.0,works like the OEM Puresource 2 filter,works like the OEM Puresource 2 filter. These filters are not equivalent to the Puresource 2 filters.  The one I tried did not fit into my refrigerator and I di
Positive,Negative,4.0,"Good, Solid Performance Commensurate w/ Price & Size","Good, Solid Performance Commensurate w/ Price & Size. --Edgestar Portable Countertop Dishwasher--

Pros:

The performance of this dishwasher is excellent given "
Positive,Neutral,5.0,What can I say? It was the right part ...,What can I say? It was the right part .... What can I say? It was the right part and I didn't have to get in my car to go pick it up.
Positive,Negative,4.0,Eh... to expensive,"Eh... to expensive. I'm going up to four stars because I've had this, taped on, to my vent for a few weeks now and it hasn't melted or anything like that.

I'm "
Neutral,Negative,3.0,Three Stars,Three Stars. Terrible replacement cartridge. Very loud when get any water-refrigerator now make a clunking noise.
Positive,Negative,5.0,I can't stop doing laundry!,"I can't stop doing laundry!. <div id=""video-block-R3A6PZYK4KQ7R3"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" na"
Positive,Negative,5.0,Most common failing part of this series of dryer. ...,Most common failing part of this series of dryer. .... Most common failing part of this series of dryer. The prior set lasted me 5.5 years that replace the orig
Positive,Neutral,5.0,entertaining,entertaining. I can't figure out why these are such a hit with our one year old. But they are. We gave them to her for her 1st birthday and she plays with them 
Neutral,Negative,3.0,Pay attention,Pay attention. I was under the impression that this was new unopened. I guess I'll pay closer attention next time. Trim parts missing and some assembly complete
Positive,Negative,4.0,Need These For Installing Dishwasher Under Granite Countertop,Need These For Installing Dishwasher Under Granite Countertop. These are great for attaching your dishwasher to granite countertop without having to drill holes
Neutral,Positive,3.0,"Looks great, not great quality","Looks great, not great quality. It looks great, but not the best of quality.  Had to return the first one because the light panel didn't work.  I do recommend i"
Neutral,Positive,3.0,Seems expensive,Seems expensive. Does what it's supposed to. Not too hard of an install. Seems rather expensive for no better than it is made. Its probably the cheapest part of
Positive,Neutral,5.0,Five Stars,Five Stars. Accurate and good way to track indoor temp.
Positive,Neutral,5.0,Plan to get some jet dry though to run about once every other week to keep the line and the unit from smelling like mold if you don't clean it after every use,Plan to get some jet dry though to run about once every other week to keep the line and the unit from smelling like mold if you don't clean it after every use. 
Negative,Positive,1.0,... don't last half as long as the off brand Best Air ones I get at,... don't last half as long as the off brand Best Air ones I get at. Picked these up since I needed them fast but they are expensive and don't last half as long
Negative,Positive,1.0,Worked perfectly after I installed it 12 months ago. ...,Worked perfectly after I installed it 12 months ago. .... Worked perfectly after I installed it 12 months ago. Stopped working yesterday without a sign of failu
Neutral,Positive,3.0,Three Stars,Three Stars. Work fine should be larger
Positive,Negative,4.0,Too much money,Too much money. I can get the same stove in ABC Warehouse for $150.00 cheaper. There are no details about this stove. Why would I buy a stove that has no detail
Positive,Neutral,5.0,Jasper is a remarkable talisman,"Jasper is a remarkable talisman. I wish these were larger and I could fill my entire yard with them. They are beyond beautiful and exceptionally powerful.

If y"
Negative,Positive,2.0,Buy the 3 pack.  Much cheaper that way.,Buy the 3 pack.  Much cheaper that way.. For anyone buying this.  Buy the 3 pack.  Much cheaper that way.  Good product.
Negative,Neutral,1.0,... inch longer and a bit stronger it would be perfect. bends easily and Very difficult to open and ...,... inch longer and a bit stronger it would be perfect. bends easily and Very difficult to open and .... If this product was six inch longer and a bit stronger 
Negative,Neutral,1.0,Messed up shilment,"Messed up shilment. Ordered the twin pack - not too hard, right? TWO (2) packages!!! Only received one. Gotta go through a whole darn pain in the @ss process to"
Neutral,Negative,3.0,Did not work as intended since I needed to buy ...,"Did not work as intended since I needed to buy .... Did not work as intended since I needed to buy more parts to make it work... And on top of that, I found tha"
Neutral,Positive,3.0,Three Stars,Three Stars. worked fine
Negative,Positive,2.0,Only thing is there was a good sized dent in the stainless steel on the bottom ...,Only thing is there was a good sized dent in the stainless steel on the bottom .... Unit came on time and as described.  Only thing is there was a good sized de
Positive,Neutral,4.0,Four Stars,Four Stars. Started off with some charcoal but cleared up see quickly.
Positive,Negative,4.0,Four Stars,Four Stars. Didn't work but easy to get a refund.
Positive,Negative,5.0,Works great!!!,"Works great!!!. We have had it for a month and have used it on a daily basis.  We have four kids and as they go to work at the local store, they always need to "
Positive,Negative,5.0,Five Stars,Five Stars. Stopped my water dispenser from leaking immediately.
Positive,Negative,4.0,Got stuck,Got stuck. It actually got stuck in my refrigerator so I can't really get it out now
Positive,Neutral,5.0,Great Hairball Treat,Great Hairball Treat. Besides having long hair and needing hairball treats our big kitty has to take a pill for acid reflux twice a day.  These treats are soft 
Neutral,Negative,3.0,"Good fridge, bad dents.","Good fridge, bad dents.. I read the other reviews...took a chance that I would NOT get a dented refrigerator...but I guess at $99.00, they send out the dented o"
Neutral,Positive,3.0,Three Stars,Three Stars. Fits as replacement.  Made of plastic not  as orginal
Positive,Neutral,5.0,Five Stars,Five Stars. a ok
Positive,Negative,4.0,No more early waking up and lagging heavy loads to Laundromat,"No more early waking up and lagging heavy loads to Laundromat. This product is heaven sent.

Prior to finding this product, I had to drag myself every three wee"
Positive,Negative,5.0,Just received my waterdrop replacements yesterday and installed one today ...,Just received my waterdrop replacements yesterday and installed one today .... Just received my waterdrop replacements yesterday and installed one today.  It di
Positive,Negative,4.0,after reading many reviews sounds like I'll be replacing in about 6 months will update ...,"after reading many reviews sounds like I'll be replacing in about 6 months will update .... Just received & installed. Only been in a few days, after reading ma"
Negative,Positive,2.0,Two Stars,Two Stars. worked fine
Positive,Neutral,5.0,Great looking stove vent,Great looking stove vent. Great looking stove vent. Works very well in exhausting the steam etc from the cook-tops. Our last vent had the lights in the front an
Positive,Negative,4.0,Works just fine - UPDATE,"Works just fine - UPDATE. UPDATE on November 5, 2016: This filter hasn't been in my fridge for five full months, and the red ""replace"" filter light has already "
Neutral,Negative,3.0,Not too happy with the white,Not too happy with the white. I ordered silver finish and got white. Not too happy with the white. Also had a few dents in it
Neutral,Positive,3.0,It looks great and was very easy to,"It looks great and was very easy to. The beverages aren't quite as cold as I would have expected, even though it is set at its lowest rating.  It looks great an"
