label,MultinomialNB_pred,overall,summary,text_preview
Neutral,Positive,3.0,The door is poorly designed.,"The door is poorly designed.. The problem here is the design of the door.  I expect that I will be replacing the catch again in the future,  This product has so"
Negative,Positive,1.0,Not a good product.,Not a good product.. They fit loose. Not a good product.
Neutral,Positive,3.0,ok but hose end holes small,"ok but hose end holes small. hoses seem well built, kind of bummed at how small the hole is on hose ends. Seems like it would restrict the flow."
Neutral,Negative,3.0,It's okay.,"It's okay.. The good news is that WHEN IT WORKS the fans seem to do a good job, but then there is the bad:  The ""30 inch"" model is only 29 inches, which leaves "
Negative,Positive,2.0,Worked like a charm for 30 seconds then made a weird ...,Worked like a charm for 30 seconds then made a weird .... Worked like a charm for 30 seconds then made a weird noise and stopped dispensing water completely. Ha
Negative,Positive,1.0,One Star,One Star. wrogn color...not even the same sham advertised
Neutral,Positive,3.0,Three Stars,Three Stars. It is not dual voltage
Neutral,Positive,3.0,Looks nice but feels cheap.,"Looks nice but feels cheap.. Fits snug in the drain, and holds water but the stopper operation is not as smooth as I'd like."
Negative,Positive,2.0,Not worth it!,Not worth it!. Save your money and buy Ice trays at the Dollar Store!!  This would be fine if I had a bar where I just needed small ice cubes. They turn to wate
Neutral,Positive,3.0,This replacement is much louder than the original. We ...,"This replacement is much louder than the original. We .... This replacement is much louder than the original. We never heard the word original one, but when som"
Negative,Positive,1.0,Not official Samsung filter,Not official Samsung filter. This says its the official Samsung filter but it truly isnt. The water flow from this particular filter is significantly slower tha
Neutral,Negative,3.0,Placement of the lamp difficult due to poor design by GE,Placement of the lamp difficult due to poor design by GE. First bulb broke while inserting. Second went in ok. Prongs were crooked and the bulb itself had a cur
Neutral,Positive,3.0,You Might Like It !,You Might Like It !. This item is exactly what was described but I don't really like it for my hair.
Negative,Positive,2.0,Super nice freezer but it was a banged up mess ...,Super nice freezer but it was a banged up mess .... Super nice freezer but it was a banged up mess when I got it so I had to return it.
Negative,Positive,2.0,Two Stars,Two Stars. Bottom wheels were slightly too big.
Positive,Negative,4.0,Four Stars,"Four Stars. First one lasted for 18 months, the second one lasted only 18 days"
Positive,Negative,4.0,buyer beware:,"buyer beware:. bought three of these products recently.  buyer beware:  great product, however, Instructions not clear.  Got penis stuck in ceiling pan."
Negative,Positive,2.0,Still figuring out if it works!,"Still figuring out if it works!. Got this for a good price, free shipping, with fast delivery from Amazon.com.  Arrived in good-condition outer box, but upon un"
Negative,Positive,1.0,Don't look new as described,"Don't look new as described. Though in Aprilaire boxes, they look used - I see tons of water deposits throughout both.  I will stick to the over priced filters "
Neutral,Positive,3.0,Nice but dosen't fit!,"Nice but dosen't fit!. Nicely manufactured and the price is right, but the 8 inch doesn't fit my older Kenmore range. Need to return them. Wish they fit right b"
Positive,Negative,5.0,"It took 3 extra days to get here, but ...","It took 3 extra days to get here, but .... It took 3 extra days to get here, but the cord took care of the the problem.  We bought a new stackable set of LG lau"
Positive,Negative,5.0,Worth it to get Whirlpool,Worth it to get Whirlpool. I will always order Whirlpool parts from now on.  Ordered an after market part and it lasted 8 months or so before it started to go b
Negative,Positive,2.0,Would not recommend these filters,Would not recommend these filters. Even after purging a gallon of water still had floaties from water.  Had to swap to normal samsung water filter and after pur
Neutral,Positive,3.0,too toght,too toght. the opening is soo tight that I have to take it out to get all the food down the drain- however- better than too wide!!
Neutral,Positive,3.0,Self watering?,"Self watering?. Not sure it is working, guess it has to be the plant is still alive. Come without any instructions. The top of the soil is dry. Not quite sure a"
Neutral,Positive,3.0,Hard to install - cannot find an adapter to fit a Moen pull out faucet/sprayer.,Hard to install - cannot find an adapter to fit a Moen pull out faucet/sprayer.. It was not compatible at all with a Moen pull out faucet/sprayer.  Could not fi
Neutral,Negative,3.0,Decent fridge..,"Decent fridge... Use
- under counter fridge in an upstairs room
- used to store waters and sodas for kids

Pros
- holds a lot of cans

Cons
- compressor is kind"
Neutral,Negative,3.0,Three Stars,Three Stars. It didn't work for our washer.
Positive,Negative,4.0,Hard to rate,Hard to rate. This is an item that is hard to review 'cause if it is working well you don't notice anything. But if you wrap and cover everything and keep the f
Positive,Negative,5.0,"They look good, are effective","They look good, are effective. I figured I'd give it a few weeks of use before writing a review on these seals. My biggest concern was warping when close to hig"
Negative,Positive,1.0,Wrong part..?,Wrong part..?. I verified with Samsung this is the right part but it has to be the wrong part in box. Would not fit in my fridge water filter. I have replaced t
Negative,Neutral,2.0,Hard to Open and Close,"Hard to Open and Close. Over the range 40 watt light bulb burned out in only 3 months. Extremely hard to open and close door. Otherwise machine works OK, nothin"
Neutral,Positive,3.0,work well,work well. Used to replace old burners that were showing holes from cleanning .....fit the bill for what they were replacing. They look as good as new.
Neutral,Positive,3.0,Three Stars,Three Stars. Had to modify with a dermal tool
Negative,Positive,2.0,"Extra bars show up in the numbers (3s can look like 8s, etc","Extra bars show up in the numbers (3s can look like 8s, etc. The data face is hard to read. Extra bars show up in the numbers (3s can look like 8s, etc.) I like"
Negative,Positive,1.0,Should be called blue light,Should be called blue light. Bad replacement for the original natural light incandescent bulbs. These bulbs make everything look blueish.
Neutral,Negative,3.0,Misleading Picture.,"Misleading Picture.. The part worked out well, but the pic for this is misleading. I only received one of the parts pictured. I thought I was getting all three."
Neutral,Positive,3.0,OK for replacement,"OK for replacement. The felt seal on our old lint screen pulled out of the slot.  This one is slightly too narrow for our Whirlpool Duet electric dryer, but wor"
Neutral,Positive,3.0,fair but not right out the box,fair but not right out the box. This beer kegorator does work well but not right out of the box. so if you do not have time to tweek it I am not sure which way 
Neutral,Negative,3.0,Does NOT fit the revised EVGA 970 SSC (04G-P4-3975-KR),Does NOT fit the revised EVGA 970 SSC (04G-P4-3975-KR). This backplate does not fit the revised version of the EVGA 970 SSC (04G-P4-3975-KR) as I later found ou
Negative,Positive,1.0,Not a genuine Whirlpool part!,"Not a genuine Whirlpool part!. This just came today and it is not a factory Whirlpool part,  even though it was advertised as such. I will install it and we wil"
Positive,Negative,5.0,I am happy with the quality and reliability of this part,I am happy with the quality and reliability of this part. I purchased the Ice Maker 1st and Then the sensors since I was not sure which part was faulty.  Later 
Neutral,Negative,3.0,Check your water pressure,"Check your water pressure. Beware of the item itself requires high water pressure from your tap to work properly, so the item itself is not pour it just doesn't"
Positive,Neutral,5.0,"I was hoping I would like this, and that it would perform","I was hoping I would like this, and that it would perform. I was hoping I would like this, and that it would perform. It does that and more. I'm dealing with ca"
Neutral,Positive,3.0,"The spring works in my refrigerator, but I find ...","The spring works in my refrigerator, but I find .... The spring works in my refrigerator, but I find it is larger than the original, so the door seal does not w"
Neutral,Positive,3.0,"Out of 2, one leaked, the other one is O.K.","Out of 2, one leaked, the other one is O.K.. I bought 2 of these, the first one started leaking after only 1 week. I replaced it with the other one, and so far "
Neutral,Positive,3.0,Three Stars,"Three Stars. Works OK, it's silly that GE has such a proprietary bulb."
Negative,Positive,1.0,Waste of money !!,Waste of money !!. My husband is somewhat handy and after looking up a you tube video on our kenmore dryer that was no longer drying cloths he was able to find 
Neutral,Positive,3.0,It works,"It works. OK product, much cheaper than OEM replacement.  Instructions indicated that the default rotation of the fan motor would work, but after installation t"
Neutral,Negative,3.0,Was unable to return so I have a nice filter sitting in storage until the day comes it ...,Was unable to return so I have a nice filter sitting in storage until the day comes it .... Bought because of description received it and did not fit. Was unabl
Negative,Positive,1.0,hit and miss,"hit and miss. Couldn't handle the pressure, made a mess in fridge. Switched back to ge brand."
Neutral,Positive,3.0,Three Stars,Three Stars. Arrived quickly but not as universal as stated. Did not fit my ge range.
Neutral,Positive,3.0,Three Stars,Three Stars. They didn't fit exactly like the ones I had before but it works
Negative,Positive,1.0,It's a toy,It's a toy. This is 2 small my 10 yrs old daughter picked the box up from outside the house. This is a toy . No good at all.
Negative,Positive,1.0,do it yourself eawsy 1/4 in nut driver,"do it yourself eawsy 1/4 in nut driver. same a repatr used ,i took it appart and assembled still charged 153.00 for servise call and 1.25 in parts 1screw. do yo"
Neutral,Positive,3.0,Serve needs,"Serve needs. Not one of the best manufactured burner controllers, but did serve my purpose. The clips on these type of products are not secured tight enough (my"
Neutral,Positive,3.0,Three Stars,Three Stars. expensive but works.
Neutral,Positive,3.0,Not as good as the original it replaced,Not as good as the original it replaced. Not as good as the original it replaced.  A little flimsy.  I'm afraid it won't last too long.  It snapped out of the s
Positive,Neutral,5.0,OK heats well,OK heats well. Fit my stove but was 1/8 inch too high on back Supports.  Required modifications to supports or drip pan
Neutral,Negative,3.0,Works fine but is very noisey,Works fine but is very noisey. The frig when set on the coldest setting goes down to 34 which is fine by me. Set up was easy however it did not have all the ins
Neutral,Positive,3.0,Failed inlet valve couple loads,Failed inlet valve couple loads. Questionable valve faiked after a few loads and machine iverflowed. Lg has a major design defect w their washers
Negative,Positive,1.0,Garbage,"Garbage. Horrible design, waste of $40, tossed it after an hour fighting it to install it, bought another seal in stead (link below) which was cheaper, easier t"
Negative,Positive,1.0,I purchased IcePure because it seemed like a good price for 2 filters,"I purchased IcePure because it seemed like a good price for 2 filters. I purchased IcePure because it seemed like a good price for 2 filters. However, the filte"
Positive,Negative,5.0,"Four months of mold, calcium and lime free goodness in the humidifier.","Four months of mold, calcium and lime free goodness in the humidifier.. We have a large Honeywell humidifier (Honeywell QuietCare Humidifier HCM-6009, 9-Gallon)"
Neutral,Negative,3.0,Three Stars,Three Stars. It said it should last 6 months. One person living in my home and it barely lasted 5.
Neutral,Positive,3.0,It is useful for camping,"It is useful for camping. I bought this product thinking it would save water and money.

It does both of those things. But. A honest break down of this mechanis"
Neutral,Positive,3.0,ice maker is substandard for this very expensive refrigerator.,ice maker is substandard for this very expensive refrigerator.. ice maker is substandard for this very expensive refrigerator. Takes almost two days to fill one
Positive,Negative,4.0,Four Stars,Four Stars. On our second one. 1st lasted about 1.5 years. For the price it's a decent buy.
Neutral,Positive,3.0,Very accurate,Very accurate. This device works fine but I did not like the fact that he goes off on a own you have to continually turn it back on to check the web bulb. Other
Positive,Negative,5.0,"Still in ""honeymoon"" phase, but very pleased so far!","Still in ""honeymoon"" phase, but very pleased so far!. I thought I would write a little (well, no so little) about MY experience & costs since so few remarks or "
Negative,Positive,1.0,One Star,One Star. nice covers!!
Negative,Positive,2.0,"Not Stainless, just chrome plated","Not Stainless, just chrome plated. They are not stainless as stated. It is chrome plated, so what can you expect for the money.
I wish they would create a large"
Neutral,Positive,3.0,nice look,nice look. haven't had long. works great. installation is not flexible or installer friendly and difficult.
Negative,Positive,2.0,I had to return it.,"I had to return it.. It looked like what my old one was but didn't fit.  Great value, wish it would of worked because it was a great deal."
Neutral,Positive,3.0,They work.,They work.. These filters are hard to find locally.  Wish they lasted a bit longer and cleaned better.
Negative,Positive,1.0,"Be very careful, the stuff inside the filter would ...","Be very careful, the stuff inside the filter would .... Be very careful,the stuff inside the filter would not stop coming out,ran about 6 gallons of water so i "
Negative,Positive,2.0,"noisy, not very cold","noisy, not very cold. Just as the title says, this thing is noisy, and not very cold.  A nice novelty I suppose, but not very practical."
Neutral,Positive,3.0,Three Stars,Three Stars. work fine but break way too easy.
Neutral,Positive,3.0,Loud on all Speeds,Loud on all Speeds. Any reviewer suggesting it is quiet must have had a jet engine in the kitchen previously. Hard to have a conversation when it is on. It was 
Neutral,Positive,3.0,"They work and are cheap, but even with bacteriostat ...","They work and are cheap, but even with bacteriostat .... They work and are cheap, but even with bacteriostat they still crust up and don't wick as well as the o"
Negative,Positive,1.0,"it worked for one wash and flooded my house, ...","it worked for one wash and flooded my house, .... it worked for one wash and flooded my house, then the plug sparked when i went to go unplug it. not worth the "
Neutral,Positive,3.0,Many bottles are too big to fit,Many bottles are too big to fit. I think that an appliance designed expressly for the purpose of storing wine really ought to have shelves sized to accommodate 
Neutral,Positive,3.0,Looks Good - Chills Ok,Looks Good - Chills Ok. The beverage cooler looks great and cools just ok. The product literature advertises that it chills down to 34F...maybe if I was living 
Positive,Negative,5.0,"First day using, and I'm impressed","First day using, and I'm impressed. Ok, I know one day isn't enough time to fully evaluate a product like this, but my initial reaction is one of pleasant surpr"
Negative,Positive,2.0,ehh,"ehh. These kind of suck.. They have very noticeable paint chips, they dent very easy."
Neutral,Positive,3.0,Sometimes it works just fine. Every once in awhile,"Sometimes it works just fine. Every once in awhile. Sometimes it works just fine.  Every once in awhile, it looks like the dished haven't even gotten wet.  It i"
Neutral,Positive,3.0,product was as described but white plastic piece for hose ...,"product was as described but white plastic piece for hose .... product was as described but white plastic piece for hose connections, mounting bracket, and elec"
Positive,Negative,4.0,Decent Washer with Poor Rack Design,Decent Washer with Poor Rack Design. We bought this Bosch Ascenta SHE3AR75UC dishwasher after our old 10 year old Bosch dishwasher started to turn itself off mi
Neutral,Positive,3.0,Great oven. Very powerful middle burner for boiling,Great oven. Very powerful middle burner for boiling. Great burner.  Very powerful middle burner for boiling.  Really like the blue lights under the knobs.  Its 
Positive,Negative,5.0,We went back to what works. A top loader that uses plenty of water and an agitator!,We went back to what works. A top loader that uses plenty of water and an agitator!. Top loading HE washers that actually work are a myth. After dealing with se
Negative,Positive,2.0,Don't do it,Don't do it. The refrigerator came quickly and is beautiful! It is also the bet price I found for atll refrigerator of this quality. The seller wa also really h
Neutral,Positive,3.0,Great Filter - Extremely Overpriced,"Great Filter - Extremely Overpriced. Does a very good job filtering water, but, very over priced compared to other filters that do the same type of filtering. H"
Negative,Positive,1.0,Do not work,Do not work. The quality is bad!!!!
Neutral,Positive,3.0,Works fine and fits fine,Works fine and fits fine. Works fine and fits fine. Lasts longer than non-holmes filters. Just hate that they only still last about a month. Gets expensive over
Neutral,Positive,3.0,"I personally would choose another stove, if I had it to do again.","I personally would choose another stove, if I had it to do again.. One burner was a problem. and all lettering/markings washed off with soap and water. ;("
Neutral,Positive,3.0,The fit in the stove is just a tad bit ...,The fit in the stove is just a tad bit .... The fit in the stove is just a tad bit off - which is weird. The plates fit in the stove but slide around and there 
Negative,Positive,2.0,Two Stars,Two Stars. Ice is very small and it's  hollow in the middle of the ice cube.
Positive,Negative,4.0,Great for a Countertop Dishwasher (and for the Price),"Great for a Countertop Dishwasher (and for the Price). Sure, this is not the best dishwasher out there, and certainly not comparable with high-end full-size uni"
Positive,Negative,5.0,"Great Cooktop; very versatile and powerful at a fair price!  If I had another kitchen, I'd buy 2","Great Cooktop; very versatile and powerful at a fair price!  If I had another kitchen, I'd buy 2. This is a really great cooktop that is well designed, laid out"
Neutral,Positive,3.0,a+,"a+. too expensive, you can by unbranded for 1/3 of GE price"
Neutral,Negative,3.0,you pay for what you get,you pay for what you get. Lasted for about 5 minutes than fried. A piece of trash
Neutral,Negative,3.0,Who knows?,Who knows?. I replaced my water filter on July 1st.  My GE refridge still states that it's time to replace filter.  I don't know if this is a filter error or if
Positive,Negative,5.0,"Shorter, but seemed to work, until seal leaked...Fixed!","Shorter, but seemed to work, until seal leaked...Fixed!. Update*** customer service read this review and sent me another!  That's a company standing behind thei"
Positive,Negative,4.0,Good product except for poor stand.,Good product except for poor stand.. Works great.  The only weakness is the little plastic stand on the back is imprecise.  The unit sometimes tips over forward
Positive,Negative,5.0,Makes the best ice!,Makes the best ice!. This is the second one we have purchased. We use it in our home and it runs constantly. The first one lasted years and we immediately bough
Neutral,Positive,3.0,poor fit,"poor fit. Can't beat this price, but didn't fit my washing machine perfectly, even though this was the recommended part number. Handle rubs on bottom"
Positive,Negative,5.0,works like the OEM Puresource 2 filter,works like the OEM Puresource 2 filter. These filters are not equivalent to the Puresource 2 filters.  The one I tried did not fit into my refrigerator and I di
Positive,Negative,4.0,"Good, Solid Performance Commensurate w/ Price & Size","Good, Solid Performance Commensurate w/ Price & Size. --Edgestar Portable Countertop Dishwasher--

Pros:

The performance of this dishwasher is excellent given "
Positive,Negative,4.0,Eh... to expensive,"Eh... to expensive. I'm going up to four stars because I've had this, taped on, to my vent for a few weeks now and it hasn't melted or anything like that.

I'm "
Neutral,Negative,3.0,Three Stars,Three Stars. Terrible replacement cartridge. Very loud when get any water-refrigerator now make a clunking noise.
Negative,Positive,1.0,One Star,One Star. broken did not work went to the parts store got worksd just fine
Positive,Negative,5.0,I can't stop doing laundry!,"I can't stop doing laundry!. <div id=""video-block-R3A6PZYK4KQ7R3"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" na"
Neutral,Negative,3.0,Pay attention,Pay attention. I was under the impression that this was new unopened. I guess I'll pay closer attention next time. Trim parts missing and some assembly complete
Negative,Positive,1.0,One Star,One Star. Not Protec as described.
Neutral,Positive,3.0,"Looks great, not great quality","Looks great, not great quality. It looks great, but not the best of quality.  Had to return the first one because the light panel didn't work.  I do recommend i"
Neutral,Positive,3.0,Seems expensive,Seems expensive. Does what it's supposed to. Not too hard of an install. Seems rather expensive for no better than it is made. Its probably the cheapest part of
Negative,Positive,1.0,... don't last half as long as the off brand Best Air ones I get at,... don't last half as long as the off brand Best Air ones I get at. Picked these up since I needed them fast but they are expensive and don't last half as long
Negative,Positive,1.0,Worked perfectly after I installed it 12 months ago. ...,Worked perfectly after I installed it 12 months ago. .... Worked perfectly after I installed it 12 months ago. Stopped working yesterday without a sign of failu
Neutral,Positive,3.0,Cheap plastic product,Cheap plastic product. The original one should not have broken in the first place!  It's anyone's guess as to how long this one may last but once you've purchas
Neutral,Positive,3.0,Three Stars,Three Stars. Work fine should be larger
Negative,Positive,2.0,Buy the 3 pack.  Much cheaper that way.,Buy the 3 pack.  Much cheaper that way.. For anyone buying this.  Buy the 3 pack.  Much cheaper that way.  Good product.
Negative,Positive,1.0,... inch longer and a bit stronger it would be perfect. bends easily and Very difficult to open and ...,... inch longer and a bit stronger it would be perfect. bends easily and Very difficult to open and .... If this product was six inch longer and a bit stronger 
Negative,Positive,1.0,Messed up shilment,"Messed up shilment. Ordered the twin pack - not too hard, right? TWO (2) packages!!! Only received one. Gotta go through a whole darn pain in the @ss process to"
Neutral,Positive,3.0,Did not work as intended since I needed to buy ...,"Did not work as intended since I needed to buy .... Did not work as intended since I needed to buy more parts to make it work... And on top of that, I found tha"
Neutral,Positive,3.0,Three Stars,Three Stars. worked fine
Negative,Positive,2.0,Only thing is there was a good sized dent in the stainless steel on the bottom ...,Only thing is there was a good sized dent in the stainless steel on the bottom .... Unit came on time and as described.  Only thing is there was a good sized de
Negative,Positive,1.0,Getting the correct item would be nice,Getting the correct item would be nice. The label on the product says 24 x 20.5 when you measure the product it is 24.5 x 20.5.
Positive,Negative,4.0,Four Stars,Four Stars. Didn't work but easy to get a refund.
Negative,Positive,2.0,I wish the belt came with a diagram for assembly ...,I wish the belt came with a diagram for assembly .... I wish the belt came with a diagram for assembly. I put it on incorrectly and it shredded and stunk the ba
Neutral,Negative,3.0,"Good fridge, bad dents.","Good fridge, bad dents.. I read the other reviews...took a chance that I would NOT get a dented refrigerator...but I guess at $99.00, they send out the dented o"
Neutral,Positive,3.0,Three Stars,Three Stars. Fits as replacement.  Made of plastic not  as orginal
Positive,Negative,4.0,No more early waking up and lagging heavy loads to Laundromat,"No more early waking up and lagging heavy loads to Laundromat. This product is heaven sent.

Prior to finding this product, I had to drag myself every three wee"
Positive,Negative,4.0,after reading many reviews sounds like I'll be replacing in about 6 months will update ...,"after reading many reviews sounds like I'll be replacing in about 6 months will update .... Just received & installed. Only been in a few days, after reading ma"
Negative,Positive,2.0,Two Stars,Two Stars. worked fine
Positive,Negative,4.0,Works just fine - UPDATE,"Works just fine - UPDATE. UPDATE on November 5, 2016: This filter hasn't been in my fridge for five full months, and the red ""replace"" filter light has already "
Neutral,Positive,3.0,Not too happy with the white,Not too happy with the white. I ordered silver finish and got white. Not too happy with the white. Also had a few dents in it
Neutral,Positive,3.0,It looks great and was very easy to,"It looks great and was very easy to. The beverages aren't quite as cold as I would have expected, even though it is set at its lowest rating.  It looks great an"
Negative,Positive,2.0,Not worth it.,"Not worth it.. It's sharp, but super flimsy. Waist of funds."
Neutral,Positive,3.0,Does what it says it does.,"Does what it says it does.. These filters are hard to come by for portable humidifier products
but they do exactly do what they are suppose to do ( admittedly
w"
Positive,Neutral,4.0,Good product,Good product. The hood is well constructed and I was able to install it without any issues. LED under hood lighting is adequate and front touch fan controls are
Positive,Negative,5.0,Permanent Solution To Loose Handle Problem,Permanent Solution To Loose Handle Problem. A number of reviews have commented that the handle gets loose after a period of time; the solution to that problem i
Positive,Negative,4.0,"Not perfect, but pretty darn good","Not perfect, but pretty darn good. We're on our THIRD attempt at compact laundry that works for our condo.  We first bought the LG combo washer/dryer.  We must "
Positive,Negative,4.0,Pretty decent ice maker,"Pretty decent ice maker. I hooked this up this weekend and started using it.  I would give it 5 stars, but the ice in the dispenser end melts rather quickly, me"
Negative,Positive,1.0,Not As Good As Indicated.,Not As Good As Indicated.. Does not match the previous switch as described. Purchase a new washer and had to return this product.
Negative,Positive,2.0,I tried to like it but it does not add volume,I tried to like it but it does not add volume. The curler brush does not work. Dry hair first or youll be there forever. I tried to like it but it does not add 
Neutral,Positive,3.0,Three Stars,Three Stars. not the right color
Neutral,Positive,3.0,Three Stars,Three Stars. its cheap but just ok to use
Positive,Negative,4.0,"Good filter, but doesn't last long","Good filter, but doesn't last long. My humidifier goes thru these filters in a very short time. Don't know why, unless six weeks is the life of a filter."
Negative,Neutral,2.0,Good for the price,"Good for the price. We've been using this beverage center for almost three weeks -- it's built into a wall cabinet in our kitchen, and I must say it looks reall"
Neutral,Negative,3.0,This is very stiff!,This is very stiff!. The plastic on this item never loosens up! I have had it for months. It is toooo stiff to allow food to go through it! I have to pull it ou
Negative,Neutral,2.0,not as easy as you think,"not as easy as you think. First the hi limit thermo was different so that threw me off. The original part had the extension arm,and i saw the replacement part f"
Neutral,Negative,3.0,They all don't stay on.,They all don't stay on.. They all  don't stay on.
Negative,Positive,1.0,Wrong product,"Wrong product. The product stated it's for samsung not frigidaire gallery. Also external filter, not internal."
Positive,Negative,4.0,Good value.,"Good value.. Installation in my refrigerator was seamless.  I ran several glasses of water through the filter, but never saw much by way of charcoal particles. "
Positive,Negative,4.0,It is what it is,It is what it is. I bought this because I needed an in expensive hygrometer for a spare cigar humidor. I calibrated it with a 69% boveda pack and it read 86% r/
Neutral,Positive,3.0,Three Stars,Three Stars. Takes forever to fill
Positive,Negative,5.0,Five Stars,"Five Stars. Well made, but had to return because the microwave it fit was defective"
Positive,Negative,4.0,it looks like either it misses the correct paint or it got ...,it looks like either it misses the correct paint or it got .... delivered on time. the only star I took off is I don't know what's in the last pic. it looks lik
Negative,Positive,2.0,Works like it should but the flow arrows on the label ...,Works like it should but the flow arrows on the label .... Works like it should but the flow arrows on the label are pointing the wrong direction ( opposite of 
Positive,Negative,5.0,smaller than a pack of gum,smaller than a pack of gum. Another one here who bought this specifically as a humidity meter for their guitar case.  24 hr exposure to the salt test yielded a 
Neutral,Negative,3.0,"Supposed to fit my dishwasher model, but not the same. Tension is wrong.","Supposed to fit my dishwasher model, but not the same. Tension is wrong.. This spring says it will replace the one for my dishwasher model, but it's not the sam"
Positive,Negative,5.0,Poor operation UPDATE very satisfied,Poor operation UPDATE very satisfied. Have had for 9 months and in MI seemed like it might be working properly although humidity and dew points seemed to not ch
Neutral,Positive,3.0,Three Stars,"Three Stars. Arrived when promised, form, fit, & function seem adequate."
Positive,Neutral,4.0,Portable and effective Ice Maker,Portable and effective Ice Maker. This is a really nice ice maker.  We purchased this to use in our RV and it works great for that purpose.  It takes about 6-7 
Negative,Positive,2.0,Two Stars,Two Stars. Arrived dameged
Neutral,Positive,3.0,Great,Great. Great item saved me money doing it myself ..
Neutral,Positive,3.0,Three Stars,Three Stars. very light guage metal.  Not sure how long it will last
Negative,Positive,2.0,It looks nice and it is easy to use but the fan ...,It looks nice and it is easy to use but the fan .... It looks nice and it is easy to use but the fan is situated on the left side of the unit and only is strong
Positive,Negative,4.0,I had this washing machine for two years now. ...,I had this washing machine for two years now. .... I had this washing machine for two years now. The only problem is the drain hose that has hole in it. I was t
Neutral,Positive,3.0,Works but...,"Works but.... Not as pictured, requires termination and reusing some of the wire heat shields. Box is ERP (Exact Replacement Parts) and part is identical to muc"
Negative,Positive,2.0,Wish it would have fit because it really is nice looking.,Wish it would have fit because it really is nice looking.. This does not fit 04G-P4-2986-KR. It is off by one hole and its barely off. Not sure if this would ca
Negative,Positive,2.0,Almost great,"Almost great. Worked great initially, but developed problems with the ignition a little over a year of ownership. No info yet on DIY solutions."
Neutral,Positive,3.0,... got to put this hood up because it is like Ross-from-Friends's teeth,... got to put this hood up because it is like Ross-from-Friends's teeth. I never got to put this hood up because it is like Ross-from-Friends's teeth. Glowing 
Negative,Positive,2.0,Two Stars,"Two Stars. wasnt what i thought
magnet part is a joke"
Negative,Positive,2.0,needed a replacement for my original dryer filter that started ...,needed a replacement for my original dryer filter that started .... needed a replacement for my original dryer filter that started coming apart. This one works 
Negative,Positive,2.0,Very cute & useful for mobility *UPDATE* Not Great,"Very cute & useful for mobility *UPDATE* Not Great. Day 1
SO far so cold!  Very cute & useful for mobility.
However, It's cooled by a soundly fan (equivalent to"
Neutral,Positive,3.0,careful don't rush,careful don't rush. Tight to install. Works great.
Positive,Negative,4.0,Review of Venta LW14,"Review of Venta LW14. I have read reviews of the larger Venta models and decided to purchase one. However, this smaller model was sufficient for the room I plac"
Positive,Negative,5.0,great small ice maker,"great small ice maker. its very stream lined,  very quit like a small ref, ice is one size,https://images-na.ssl-images-amazon.com/images/I/41rchCdflWL._SS300_."
Negative,Positive,1.0,Expensive to return,Expensive to return. Didn't need it but it cost $6.50 to mail it back.
Negative,Positive,2.0,I like the choice of ice sizes,I like the choice of ice sizes. I have purchased two of these already because they last exactly 22 months. I like the choice of ice sizes. I love the size of th
Neutral,Positive,3.0,Three Stars,Three Stars. The product seems OK.
Positive,Negative,5.0,Good product for a VERY good price,"Good product for a VERY good price. I bought the 3-pack of these. While I only used one so far, they're a good buy. It was hard determining if it would work in "
Neutral,Positive,3.0,OK does the job,OK does the job. Little expensive for what it is but does the job.
Positive,Negative,5.0,EXCELLENT WASHER! (+Optional Accessories - read on for the parts),"EXCELLENT WASHER! (+Optional Accessories - read on for the parts). Let me start off by saying for the last 16b months or so, my wife and I have been using the P"
Neutral,Positive,3.0,Fit for the machines that I have which was listed in description,"Fit for the machines that I have which was listed in description. Good product, but too long to get to me and I should have just went to hardware store to pick "
Neutral,Positive,3.0,A different color,A different color. The product works fine and is identical except the color. I have a black grill on my stainless steel fridge and the white handle sticks out l
Neutral,Positive,3.0,Three Stars,Three Stars. does what it needs to do
Negative,Neutral,1.0,Not accurate.,Not accurate.. I returned the first one as I could not calibrate it against the Extech cal kit (33% and 75%).  The replacement does not work any better.  You sh
Positive,Negative,4.0,I wished it lasted longer?,"I wished it lasted longer?. My Mt. Vernon AE power supply ignitor/AC connector,  one terminal post went bad.  This connection goes to Control Board 13 ignitor A"
Negative,Positive,1.0,The first order I received was damaged so I shipped ...,The first order I received was damaged so I shipped .... The first order I received was damaged so I shipped it back and got a new one.  They refunded the money
Neutral,Positive,3.0,The look is good and mixes well with my black controller only thing ...,The look is good and mixes well with my black controller only thing .... The look is good and mixes well with my black controller only thing is the screws that 
Positive,Negative,5.0,Katadyn is TOPS!!,Katadyn is TOPS!!. I bought the Katadyn Pocket water purifier system many years ago and really had no reason to buy this replacement filter other than to have a
Neutral,Positive,3.0,ideal  oven for places with unstable electricity supply,ideal  oven for places with unstable electricity supply. Because the stove is as described and  the oven  works  even when there  is  power  outage so  your bak
Neutral,Negative,3.0,Had to send back for a new one..,Had to send back for a new one... DOA
Positive,Negative,5.0,Good value!!,"Good value!!. At first it tasted weird, but after a couple of uses, the water tasted great again. So I supposed it needed to go through some priming.
One thing "
Negative,Positive,2.0,... one that went out but when I priced one like it was 200 or generic was 125 so for ...,... one that went out but when I priced one like it was 200 or generic was 125 so for .... It makes ice it's just way slower than the old one that went out but 
