label,GradientBoosting_pred,overall,summary,text_preview
Negative,Positive,2.0,Wanted to like this but...,Wanted to like this but.... I've been using this for three weeks now and am finding that my nose and my son's nose are still very dry. I really wanted to like t
Neutral,Positive,3.0,Three Stars,Three Stars. Got me up and running again.  A bit pricey though.
Neutral,Positive,3.0,Three Stars,Three Stars. Unfortunately one of them is leaking.
Positive,Negative,5.0,Return was easy. Received the 90 and installation went very smoothly,"Return was easy. Received the 90 and installation went very smoothly. Ordered the 180, but needed the 90.  Return was easy.  Received the 90 and installation we"
Negative,Positive,1.0,Wasn't great the plastic covering came off the long brush and ...,Wasn't great the plastic covering came off the long brush and .... Wasn't great the plastic covering came off the long brush and was afraid it would rip the alu
Negative,Positive,2.0,Doesn't last long,"Doesn't last long. Works great, but only lasts about 5 weeks at most... I know we have hard water but this thing should last longer for the price..."
Neutral,Positive,3.0,Three Stars,Three Stars. Works good.
Neutral,Positive,3.0,The top end that attaches to the washer drum is ...,The top end that attaches to the washer drum is .... The top end that attaches to the washer drum is too small for my WF210AN washing machine IF the bushing is 
Positive,Negative,5.0,Loved them. Im going to buy another set for ...,Loved them. Im going to buy another set for .... Loved them. Im going to buy another set for my freezer. Even my husband loves them. He said I did good.
Negative,Positive,2.0,Not recommended,Not recommended. This fridge had a receipt in the box showing it as apparently being sold for $60 by Walmart. I believe I paid ~$80 for it. That is not acceptab
Neutral,Positive,3.0,Three Stars,Three Stars. yip they worked but crazy expensive
Positive,Negative,5.0,Second purchase of these. Does not protect all of ...,Second purchase of these. Does not protect all of .... Second purchase of these. Does not protect all of the burner from spills but very definitely helps. Will 
Positive,Negative,5.0,"LG Model # LFX28978ST - So, this damn spring ...","LG Model # LFX28978ST - So, this damn spring .... LG Model # LFX28978ST - So, this damn spring breaks 2 months after the 5 year extended warranty runs out.  Cou"
Negative,Positive,2.0,Does not work as well as genuine GE filter,"Does not work as well as genuine GE filter. just recently installed, right off the bat i noticed that the flow of water was much weaker than it had been with th"
Negative,Positive,2.0,Read this first!,Read this first!. It's a great indoor thermometer for HVAC use in a home but changing from Celsius to Fahrenheit is often a mystery. To switch from one to the o
Negative,Positive,2.0,Not cleanable.,Not cleanable.. Not ver sturdy. Cannot clean in oven like some. I tried to soak them and finally scrub them and they did not clean.
Neutral,Positive,3.0,Weak Metal Clasp,"Weak Metal Clasp. Kenmore dryer, the pin would not hold in the clasp/latch. The metal clasp (pictured) was not strong enough to hold the door closed. I was able"
Neutral,Positive,3.0,They work,They work. ...but the stem is undersized for my grates.  I used a little aluminum foil to wedge them in and they're okay.  i will be affixing them with a little
Negative,Positive,1.0,"HORRIBLE, rusted after 1 wash","HORRIBLE, rusted after 1 wash. This is a horrible product. The plastic came off after the first use and it is already rusty.  Would not recommend this product a"
Negative,Positive,1.0,Water Quality Not Good,Water Quality Not Good. I wanted to wait to give a review. I've had these for nearly 6 months and I can tell the difference in the quality is not as good as if 
Neutral,Negative,3.0,"Nothing was wrong with the part itself however, most ...","Nothing was wrong with the part itself however, most .... Nothing was wrong with the part itself however, most reviews suggested that this model was  compatible"
Positive,Negative,4.0,2 strikes...,"2 strikes.... The first unit initially was DOA out of the box, Amazon replaced it with a new unit.  The second unit failed just after the return period expired;"
Positive,Negative,5.0,"Nothing big can get into the garbage disposal, and when the center is lowered","Nothing big can get into the garbage disposal, and when the center is lowered. Looked EVERYWHERE for this stopper for our Insinkerator.  They are SO HANDY.  Not"
Negative,Positive,1.0,wiring harness for Kenmore not included as stated,"wiring harness for Kenmore not included as stated. If you have a Kenmore there is no wiring harness included in this product, it comes with a couple different o"
Positive,Negative,4.0,"Filter ""aurally"" tells me when I'm saving money on filtered water!","Filter ""aurally"" tells me when I'm saving money on filtered water!. Product shipped on time and arrived carefully packaged. The flow rate of water was good and "
Neutral,Positive,3.0,Received generic brand not LG,"Received generic brand not LG. Received generic brand not LG, quality not as good as genuine LG filters."
Negative,Positive,1.0,Learned A Lesson,Learned A Lesson. Neither of these filters worked in my refrigerator even though they were supposed to be actual replacements for the Samsung filter. Guess I le
Positive,Negative,4.0,A bargain.,A bargain.. I have to revise my earlier review. I finally got it to seal properly. Its so much cheaper than the version sold by the home improvement store. I'll
Negative,Positive,2.0,Nice quality but doesn't work well.,Nice quality but doesn't work well.. It's fits well and looks nice but it causes the drain to back up. We have to push stuff down into it or small pieces of foo
Neutral,Positive,3.0,think about height,"think about height. The freezer is a little weird, it builds up ice very quickly and when we turned down the chill the ice kind of builds and melts constantly s"
Negative,Positive,1.0,Leaks,"Leaks. Leaked all over the inside of the fridge.  Went in perfect.  Fit's just like the original, but leaked...not fast, but enough that we had to put a bowl in"
Neutral,Negative,3.0,Not required if buying Waste King L-2600 disposal,Not required if buying Waste King L-2600 disposal. I bought this as recommended by Amazon with the disposal and the disposal already comes with it. Should have 
Neutral,Positive,3.0,Needs slight adjusting,Needs slight adjusting. The holes are to small and doesnt allow water to drain down the sink properly. After cutting the center about an 1/4 inch works fine now
Neutral,Positive,3.0,Watch out for OEM statements on packaging,"Watch out for OEM statements on packaging. Came in a OEM whirlpool package but two of the rollers were not right. Luckily, mine didn't need replacement. Everyth"
Neutral,Positive,3.0,OK,OK. OK
Positive,Negative,5.0,Review,Review. Excelente!
Neutral,Positive,3.0,Would have been perfect,Would have been perfect. Researched it online and decided to choose this one.  When I got it I started to put it in and it was a inch longer than my freezer. I 
Neutral,Positive,3.0,Three Stars,Three Stars. as expected
Neutral,Negative,3.0,Okay.,"Okay.. It's a bit tall for my Honeywell, but I squeezed it down. Down side is the outer part is covered with a metal honeycomb design that is exceptionally shar"
Negative,Positive,2.0,Two Stars,Two Stars. Smaller than I hoped and really not worth the money.
Neutral,Positive,3.0,"Nothing special, its a range hood. Replacement for ...","Nothing special, its a range hood. Replacement for .... Nothing special, its a range hood. Replacement for my 15 year old Kenmore. Other than the badging, it wa"
Neutral,Positive,3.0,Temperature is pretty accurate for indoors,Temperature is pretty accurate for indoors. Temperature is pretty accurate for indoors. Outdoor temperature sometimes seems to be way off showing it's much hott
Negative,Positive,2.0,Disappointed. The freezer died after few hours.,"Disappointed. The freezer died after few hours.. This freezer turned on once and died a few hours later. It was in our cool basement with its own power plug, it"
Neutral,Positive,3.0,Three Stars,Three Stars. Edges feel like you could cut yourself on the edges if not careful...Light weight not sturdy feeling.
Negative,Positive,1.0,Not a good substitute for the GE filters,Not a good substitute for the GE filters. Pay attention to the negative reviews on this product. I ordered three of these and none of them worked. They made my 
Negative,Positive,1.0,Missing 2 our of three parts.,"Missing 2 our of three parts.. Ordered a package deal with 3 parts, only received 1 and delivery was later than promised."
Neutral,Positive,3.0,"Excellent seller, but the OEM Whirlpool part is not proper for my 1996 Kitchenaid Model KUDI24SEWH1 dishwasher","Excellent seller, but the OEM Whirlpool part is not proper for my 1996 Kitchenaid Model KUDI24SEWH1 dishwasher. The shipping and RMA refund were handled promptl"
Negative,Positive,2.0,Two Stars,Two Stars. Missing filters
Negative,Positive,1.0,Lint filter ruins button-down shirts,Lint filter ruins button-down shirts. This lint filter eats my husband's button-down shirts EVERY.SINGLE.TIME. I've lost count of how many shirts have been ruin
Neutral,Positive,3.0,not so universal aftera ll..,not so universal aftera ll... The metal quality is very good but largest one of the four is just too large and won't fit. Not so universal after all.
Neutral,Positive,3.0,"Great Deal, doesn't seem very durable","Great Deal, doesn't seem very durable. This was much cheaper than buying a factory replacement.  Keep in mind that this is NOT the factory part.  This is a chea"
Neutral,Negative,3.0,wow...what a rip off.,wow...what a rip off.. a long metal spoon melted the original causing a leak of rinse solution. I went for a year without it as I thought the cost was a HUGE fl
Positive,Negative,4.0,Aprilaire 45 media pad for the Aprilaire 400 humidier,"Aprilaire 45 media pad for the Aprilaire 400 humidier. This media pad/panel evaporator is of fiber construction, works well, but not as efficient as the metal A"
Negative,Positive,1.0,Perfect fit!,Perfect fit!. Perfect fit! Quick shipping!
Positive,Negative,5.0,LG service guy should have had this with him when he went on our service call!!!!,"LG service guy should have had this with him when he went on our service call!!!!. So we just got a brand new LG fridge.  After several months, our ice maker pr"
Neutral,Positive,3.0,Not quite a perfect fit. There's a little gap that dryer sheets ...,Not quite a perfect fit. There's a little gap that dryer sheets .... Not quite a perfect fit. There's a little gap that dryer sheets can go through and block th
Neutral,Positive,3.0,Three Stars,Three Stars. was a little flimsy
Negative,Positive,2.0,I wish there was a way this could grab a ...,I wish there was a way this could grab a .... I wish there was a way this could grab a hold of the lint and pull it out. You almost need 2 of these to get the l
Negative,Positive,1.0,Over-priced filters; GE price-gouging their Customers,"Over-priced filters; GE price-gouging their Customers. Way Overpriced.. the cost factor on this filter is about $1.12, and they sell them for over $40 !!!  I to"
Positive,Neutral,4.0,OK for now,"OK for now. I thought it would be little thicker, but I really won't know for a few months on if it stops the rust."
Neutral,Positive,3.0,Take a good look at the housing,"Take a good look at the housing. This does not fit my washer.  Yes, I should have paid more attention to the part.  If you look at other drain pumps you'll see "
Neutral,Positive,3.0,A large restaurant grade potato masher is better and cheaper...,"A large restaurant grade potato masher is better and cheaper.... A large restaurant grade potato masher is better and cheaper...
They are metal and come with a "
Neutral,Positive,3.0,Three Stars,Three Stars. Not the correct size!
Negative,Positive,2.0,Ridiculously small,Ridiculously small. This is incredibly small--check the dimensions for it before you order. Why they reduced the size of the bottom by cutting off the cormers i
Positive,Negative,4.0,Only one thing fortunately which i could not test first hand is manufacturer ...,Only one thing fortunately which i could not test first hand is manufacturer .... Extremely efficient range hood. Very powerful and works well even for Indian c
Negative,Positive,1.0,Leaks! Do not buy!,Leaks! Do not buy!. Doesn't work. Installed as directed. Was recommended for my model of fridge and fit well...Seemed to be working. Was happy until I opened th
Neutral,Positive,3.0,Great!,Great!. Items performs as it should. So glad I fixed it myself
Positive,Neutral,4.0,Four Stars,Four Stars. provide own plug-in cord.  junction box is small to make connections
Positive,Negative,4.0,Get what you pay for,"Get what you pay for. Seems to be the one that lasts the longest, costs more but lasts more"
Neutral,Positive,3.0,Three Stars,Three Stars. Kit was exactly what I needed and came as predicted.
Negative,Positive,2.0,Not Quite the Real Thing,Not Quite the Real Thing. Got this filter today and was able to compare the water from a brand name Maytag/Whirpool filter against this much more affordable rep
Positive,Negative,5.0,They treated us like we were Kings,"They treated us like we were Kings. I bought new LG washer and dryer. 6 months later the power would just turn off. It turned out that it was not the washers, b"
Neutral,Positive,3.0,It's hard to tell.,"It's hard to tell.. I bought this to use in my warm-air humidifier.  Even though I use it faithfully, I still have to use vinegar to soak the heating mechanism "
Neutral,Positive,3.0,"Looks nice, doesn't do it's job","Looks nice, doesn't do it's job. We bought this over the summer and just had our contractors install the hood. It looks great, but unfortunately it blows things"
Neutral,Negative,3.0,You get what you pay for,"You get what you pay for. After just a few uses it is coming apart near one corner. I would not recommend it, not quality made."
Neutral,Negative,3.0,not equal to original manufacturer item,"not equal to original manufacturer item. This filter is adequate, but not equal to the GE filter it replaces; does not filter as well and does not last as long."
Neutral,Negative,3.0,Humidity readings are useless,"Humidity readings are useless. The temperature numbers are off two degrees from other thermometers we have. The humidity numbers are a joke, and there's no way "
Negative,Positive,1.0,The dryer worked great but then it broke down and it needs a ...,The dryer worked great but then it broke down and it needs a .... I am writing this review of LG products so that consumers can be aware of the type of company 
Positive,Negative,5.0,They work I thought there was one per bag but ...,"They work I thought there was one per bag but .... They work
I thought there was one per bag but got two sets
My fault"
Neutral,Negative,3.0,I put water in machine then when I turn it ...,I put water in machine then when I turn it .... I put water in machine then when I turn it on the red light comes on for the water. I put the water up to the fi
Neutral,Positive,3.0,Needs better installation instructions.,Needs better installation instructions.. I THINK THE INSTRUCTIONS NEED TO BE IMPROVED. All my water is coming out with bubbles.
Neutral,Negative,3.0,Average,"Average. Very flimsy, but workable."
Positive,Negative,5.0,Tried using a generic brand but my refrigerator started making ...,Tried using a generic brand but my refrigerator started making .... Tried using a generic brand but my refrigerator started making grinding noises.  Hired a rep
Negative,Positive,2.0,Screws may be too short. Measure before you buy.,Screws may be too short. Measure before you buy.. Screws were not long enough. I chatted with GE support and the rep recommended getting the screws at a hardwar
Negative,Positive,2.0,Two Stars,Two Stars. Looks good but too noisy.
Positive,Negative,5.0,Waterdrop makes me like water!,Waterdrop makes me like water!. I had another brand of filter and did not enjoy the way it made the water taste. The waterdrop filter mades my water taste the b
Negative,Positive,1.0,Horrible Experience,Horrible Experience. I purchased this item because I love to eat ice!!! My ice maker in my freezer doesn't work so I thought this would be a great solution to m
Neutral,Positive,3.0,Good but costly.,Good but costly.. It's very expensive and designed so that using a substitute is difficult even if the functioning would be just as efficient.
Neutral,Positive,3.0,Not so happy with product,Not so happy with product. Too slow to cool. Awkward design
Neutral,Negative,3.0,Bait and switch??,"Bait and switch??. What I received did not match the listing. Received the filter today, filter was a RPWFE not sure what that means. The original was an RPWF, "
Neutral,Positive,3.0,Three Stars,Three Stars. The product was good replacement for the dishwasher.
Neutral,Positive,3.0,Three Stars,Three Stars. Easy to assemble. Snaps together. Serves the purpose.
Negative,Positive,1.0,Only Two Delivered,"Only Two Delivered. Only 2 wheels were delivered!!
The two that came installed easily and fit well."
Neutral,Positive,3.0,uses less water!  beware!!!,"uses less water!  beware!!!. I started on the page with my exact washer, but somehow ended up with the WF328 etc. Anyway I don't think the exact model is import"
Neutral,Positive,3.0,loses a star for cost and instruction confusion,loses a star for cost and instruction confusion. this was for the 27 inch affinity fridgidaire washer and dryer set.  If your washer has a design on the side th
Negative,Positive,1.0,LG USA Made 5231JA2002A Replacement Filter purchase review,LG USA Made 5231JA2002A Replacement Filter purchase review. Quality control for this product is questionable. Found a dirt-like foreign material INSIDE the seal
Neutral,Positive,3.0,Convenient and good enough,"Convenient and good enough. As a generic part, it does not fit perfectly snugly into my Maytag dryer's lint filter slot, but it gets the job done. I appreciated"
Neutral,Positive,3.0,Made in China - not like original,"Made in China - not like original. I bought this item for my Kenmore 90 series gas dryer.  It was a decent price, but is now sold by another vendor for $49.95 o"
Neutral,Positive,3.0,Three Stars,Three Stars. They are good.
Neutral,Positive,3.0,Not as advertised,Not as advertised. Not as advertised. Part fits but description said pack of 2 and there was only1. It would be nice to have the second one when this one breaks
Neutral,Positive,3.0,Three Stars,Three Stars. Does well in eliminating smells but left a black film on the walls of my freezer.
Neutral,Negative,3.0,Three Stars,Three Stars. We own two and sadly one stopped working after two years.
Positive,Negative,5.0,Piece of cake.,"Piece of cake.. This has got to be one of the easiest fix a homeowner is going to encounter. 10 minutes, and I'm making ice again."
Negative,Positive,2.0,Two Stars,Two Stars. I like the concept but the Magnet detached from the top after one day. Super glue was needed
Neutral,Negative,3.0,I like the variable cube size and production quantity,I like the variable cube size and production quantity. I like the variable cube size and production quantity. I dis- like very poor operation instruction and th
Neutral,Positive,3.0,The new one seems like it was constructed cheap and doesn't give me the ...,The new one seems like it was constructed cheap and doesn't give me the .... I was a bit surprised with the thin plastic-like material.  My old belt was thick a
Negative,Positive,2.0,Two Stars,Two Stars. developed holes within two years
Negative,Positive,2.0,Buy Lint Eater instead.,Buy Lint Eater instead.. Buy the Gardus Lint Eater instead chuck it into a drill and feed it in. The reach of the duct brush is limiting to me since I need abou
Negative,Positive,2.0,Essick moist air humidifier filters,"Essick moist air humidifier filters. Not the greatest. Glue on sides broke loose on 3 of 4 filters. Would not get these again, metal screen is better."
Negative,Positive,1.0,LG Dishwashers are not good,LG Dishwashers are not good. Purchased an LG LDF6920ST dishwasher July 2009 and I am already having to replace it. The original Dishwasher in the house lasted 1
Negative,Positive,1.0,Works okay until it doesn't.,"Works okay until it doesn't.. My hub ceased to function about a month in. I've been trying to figure out how to ask for a replacement.
Maybe this is how?

Setti"
Neutral,Negative,3.0,Filter mounting problem,"Filter mounting problem. This is  NOT the correct filter by Samsung! It is an  aftermarket brand that can be made to fit, The problem is with the lugs that hold"
Neutral,Positive,3.0,1 week) after the installation of the gasket to force a better closure. If this arrives with the shape being ...,1 week) after the installation of the gasket to force a better closure. If this arrives with the shape being .... This replacement gasket fits ok.  I had to do 
Negative,Positive,1.0,Avoid this Ice Maker,Avoid this Ice Maker. I used to love this ice maker but now it is 5 months later and it only makes 1 ice cube at a time.  I kept the packaging for 2 months and 
Positive,Negative,5.0,The unit has a number of copper/stainless contacts inside which become dirty from carbon deposits and eventually the small stain,The unit has a number of copper/stainless contacts inside which become dirty from carbon deposits and eventually the small stain. I bought one of these timers a
Neutral,Positive,3.0,Works but not instant reading like I thought,"Works but not instant reading like I thought. The seller was quick to deliver and it was great service.
This product is a perfect size but, It's jut not instant"
Negative,Positive,1.0,No water going through the filter,No water going through the filter. I bought 3 pack of the filters. It fits to my refrigerator but not water goes through the filter. The original filter model w
Negative,Positive,2.0,Disappointed,"Disappointed. I had purchased a ZLINE range hood, shipping time was acceptable, however when the 48 inch ZLine hood came in it looked as if it was re-taped and "
Negative,Positive,1.0,Pass....,Pass..... Turned pink within a couple of hours in my gun safe. My weapons are in great shape for the amount of moisture these say are in it.
Positive,Negative,5.0,funny thing about these is you would only know if ...,"funny thing about these is you would only know if .... funny thing about these is you would only know if they are working if you didn't use one for a while, kno"
Negative,Positive,1.0,"Only worked for about 15 minutes.,","Only worked for about 15 minutes.,. It worked OK  for the first 10 minutes.  Then it just stopped working all together.  Removed the batteries, which didn't app"
Negative,Positive,1.0,Don't Cheap Out - Buy the Real Thing!,Don't Cheap Out - Buy the Real Thing!. I ordered these as a compatible replacement filter for my Samsung refrigerator. We had issues with water pressure and fou
Positive,Negative,5.0,Fit as if it was an OEM part. Didn't ...,"Fit as if it was an OEM part. Didn't .... Fit as if it was an OEM part. Didn't need to use the glides, put those away for safe keeping."
Negative,Positive,1.0,"These do not fit my LG refrigerator, LFX28968ST. ...","These do not fit my LG refrigerator, LFX28968ST. .... These do not fit my LG refrigerator, LFX28968ST.  They look darn near identical to the name brand filter w"
Negative,Positive,1.0,I'd be better off not using this at all,I'd be better off not using this at all. This thing doesn't do anything but make noise. My house fills with smoke and you cannot see any of it being drawn up in
Positive,Negative,5.0,Samsung DA97-07365G,Samsung DA97-07365G. This is the correct part for the Samsung French door refrigerator model no. RF4287HARS/XAA.  I am very happy to have ice again.
Negative,Positive,2.0,Item is as pictured,"Item is as pictured. This relay is exactly as pictured, the Fotek SSR-40 DA.  It has a metal backing plate, but a matching metal fin heat sink is sold separatel"
Negative,Positive,2.0,Two Stars,Two Stars. Installed fine... however unable to disconnect and replace... now cannot make ice
Negative,Positive,2.0,This was supposed to fit my Kenmore range. Not ...,This was supposed to fit my Kenmore range. Not .... This was supposed to fit my Kenmore range. Not all the connections fit and now I have to hire somebody to pu
Neutral,Positive,3.0,Three Stars,Three Stars. no top
Positive,Negative,5.0,Do the math and for a couple pennies a day you know what you're getting.,Do the math and for a couple pennies a day you know what you're getting.. I simply don't understand why people spend a little less money on the knock offs. I've
Neutral,Positive,3.0,As Described,As Described. As Described
Neutral,Positive,3.0,Bought this along with the whirlpool belt pulley. You ...,Bought this along with the whirlpool belt pulley. You .... Bought this along with the whirlpool belt pulley.  You won't want to take your dryer apart twice so I
Positive,Negative,4.0,"You will not need to replace it every six months as recommended, but can squeeze a few more months time ...","You will not need to replace it every six months as recommended, but can squeeze a few more months time .... Getting filtered water is something that most peopl"
Neutral,Negative,3.0,Missing Clamps from Photo,"Missing Clamps from Photo. I would have given it a 5 star, because the hose itself deserves same; however, per the photo I was expecting the white clamps to be "
Neutral,Negative,3.0,DOES THE DESIGNER ACTUALLY USE THIS DISHWASHER?,"DOES THE DESIGNER ACTUALLY USE THIS DISHWASHER?. [First off, it is essential to READ THE MANUAL carefully as this will address some of the issues raised by revi"
Positive,Negative,5.0,Whirlpool refridgerator in grille water filter,"Whirlpool refridgerator in grille water filter. Although this is a substitute for the original unit called for by Whirlpool, it seems to do the job. The packagi"
Neutral,Positive,3.0,I just couldn't stomach how it looked,I just couldn't stomach how it looked. I need a dryer vent and wanted something better than the vent with the three flaps because I do not feel that they last l
Negative,Positive,1.0,Broans are loud,Broans are loud. I have a Broan bathroom fan that claimed to be silent. It is very loud. Beware of the advertised claims of this brand.
Positive,Negative,5.0,"Well made, recommended.","Well made, recommended.. Turned out to be a different problem with my machine, had to return it, but it was very well made. I would recommend it."
Neutral,Positive,3.0,Good service. Was able to return easily,"Good service. Was able to return easily. Such a large machine for very little ice production.  Good service.  Was able to return easily.

Update:  Turns out my "
Negative,Positive,2.0,Very dissappointing.,"Very dissappointing.. Very disappointing.  It is flimsy, doesn't protect much from splash, and doesn't hold it's shape.  Wears out quickly and seems to amplify "
Neutral,Positive,3.0,The last one was undamaged and worked fine. The product was a good value,The last one was undamaged and worked fine. The product was a good value. This product came dented twice.  I think the same forklift guy must have handled my fi
Neutral,Positive,3.0,This filter didn't seen to fit in my humidifier as ...,"This filter didn't seen to fit in my humidifier as .... This filter didn't seen to fit in my humidifier as well as the Protec filter. It worked ok, but seemed t"
Neutral,Negative,3.0,I noticed in the last year and a half that ...,"I noticed in the last year and a half that .... I noticed in the last year and a half that clothing was getting snagged on the edge of our existing filter, to t"
Neutral,Positive,3.0,Three Stars,Three Stars. This product is of lesser quality than original which may or may not be an issue down the line.
Negative,Positive,1.0,LG washer on perma press cycles leaves the clothes very ...,LG washer on perma press cycles leaves the clothes very .... LG washer on perma press cycles leaves the clothes very wrinkled.  Called LG no help. I miss the ol
Positive,Negative,4.0,I will buy again,I will buy again. I got the liners a  few days back. I have put one liner in the conventional oven and I cut another to the right size to put in my toaster oven
Neutral,Negative,3.0,Bad fit but better performance,"Bad fit but better performance. Like others have said, these are a poor fit compared to the older style paper filter. But they work better than the honeycomb ty"
Neutral,Positive,3.0,Not as great as the original OEM product,"Not as great as the original OEM product. Not as great as the original OEM product, but for the money, I can live with that. Still functions fine."
Positive,Negative,4.0,It has a different electrical connector arrangement despite having the ...,It has a different electrical connector arrangement despite having the .... It has a different electrical connector arrangement despite having the same part num
Positive,Negative,5.0,One Star,"One Star. The water filter didn't fit my GE refrigerator had to return, the return went very smooth, Thank you !!"
Neutral,Positive,3.0,Three Stars,Three Stars. No batteries!!
Neutral,Positive,3.0,Be careful handling,"Be careful handling. Be careful when handling these things. The metal edges are very flimsy and bend easily. They bend back into place, but I just felt like I w"
Neutral,Positive,3.0,Gets the job done no frills,"Gets the job done no frills. I didn't return this product because it pretty much does what is intended, and the price was reasonable. The metal does not stay in"
Negative,Positive,1.0,Terrible!,Terrible!. I've had this range for 5 yrs. and am now replacing the 2nd heating element!  I thought ranges were supposed to last a lot longer than this...and our
Positive,Negative,5.0,"Knob, turns on fire.","Knob, turns on fire.. It's a knob, just like the POS one that comes with the Whirlpool stove.  Why can't they make anything out of real metal anymore?"
Positive,Negative,4.0,"Water taste okay, slightly too big.","Water taste okay, slightly too big.. Bigger than the previous model by about 1 inch.

This item has the same model number as the previous version made by a diff"
Neutral,Negative,3.0,"The top LED stopped working, and now I have ...","The top LED stopped working, and now I have .... The top LED stopped working, and now I have no idea what the temp is? I think I got this in Nov 2017, it was on"
Neutral,Negative,3.0,... now to use in my humidifier and I'm always disappointed in the life of the product,... now to use in my humidifier and I'm always disappointed in the life of the product. I've bought these a few times now to use in my humidifier and I'm always
Neutral,Positive,3.0,Three Stars,Three Stars. takes forever to dry if you're hair is a little wet
Negative,Positive,1.0,First one worked fine. Second filter sprayed water everywhere inside the fridge,First one worked fine. Second filter sprayed water everywhere inside the fridge. First one worked fine. Second filter sprayed water everywhere inside the fridge
Neutral,Positive,3.0,Three Stars,"Three Stars. same knobs as original to stove,hope this lasts longer"
Negative,Positive,1.0,I am an electrical product approvals inspector and according to ...,I am an electrical product approvals inspector and according to .... I am an electrical product approvals inspector and according to the manufacturers instructi
Negative,Positive,1.0,Mary oliver,Mary oliver. I love my new. Freezer could not have purchase a better. Freezer
Negative,Positive,1.0,This Washing Machine Sucks,"This Washing Machine Sucks. This is the first time I have ever wanted to give something zero stars.

We moved to a new house about a year ago, and this is the w"
Negative,Positive,2.0,WENT TO THE LOCAL HARDWARE STORE AND THE HOSES LOOKED ...,"WENT TO THE LOCAL HARDWARE STORE AND THE HOSES LOOKED .... WENT TO THE LOCAL HARDWARE STORE AND THE HOSES LOOKED FLIMSY, SO DECIDED TO ORDER THIS ONE, DISAPOINT"
Negative,Positive,2.0,too large for kenmore range,too large for kenmore range. Do not fit my kenmore range. They are too large so these are not a universal fit.
Negative,Positive,1.0,Not worth 50 bucks,"Not worth 50 bucks. Worst washer machine I've ever owned. My first and last Maytag. Clothes don't get clean, gets unbalanced with bed clothes, so it has to be b"
Negative,Positive,2.0,Two Stars,Two Stars. there is a dig on the right side
Negative,Positive,2.0,"Everything looks identical to the GE filter, except the ...","Everything looks identical to the GE filter, except the .... Everything looks identical to the GE filter, except the opening for the water to flow through is mu"
Negative,Positive,2.0,"Good idea, poor design.","Good idea, poor design.. After a great deal of fiddling, I could only get the large clips to work, the small clips did not snap onto my dish-washing wire racks."
Positive,Negative,4.0,"It may not be the filter, but just a poor design of a refrigerator","It may not be the filter, but just a poor design of a refrigerator. Overall, I'm not as impressed with GE appliances as I probably could be.  It isn't the selle"
Neutral,Positive,3.0,Very nice looking; loud fan; very weak lighting.,"Very nice looking; loud fan; very weak lighting.. I really wanted to like this unit . . . it looks great, but . . .
- The instructions are NON-existent. If you "
Positive,Negative,5.0,AcuRite nails it with this one,AcuRite nails it with this one. We live in Florida where knowing the outside temperature and humidity are kind of important. We had a nice digital indoor-outdoo
Negative,Positive,2.0,Better only need the switch,Better only need the switch. Gasket came wrapped around switch assembly like a rubber band. To out of shape to be of any value.
Positive,Negative,5.0,Cheap alternative to the name brand,Cheap alternative to the name brand. Stopped the squeak! Much cheaper than a name brand kit. Don't skimp on the grease. USE THE WHOLE TUBE!
Neutral,Positive,3.0,Isn't the best fit but it works.,Isn't the best fit but it works.. Overall it works but the fit isn't as tight as the original cover. I made sure all of the model numbers match but where the ha
Negative,Positive,1.0,Part in the picture is not what you get!,Part in the picture is not what you get!. The part i got in the mail was not the part shown it was a rebuild kit! Not happy and not worth the money!
Negative,Positive,1.0,Not strong,"Not strong. Not strong, boo"
Positive,Negative,5.0,2nd a charm,"2nd a charm. The first one I purchased was defective. I guess QA needs to be better; however, the second was a charm."
Negative,Positive,2.0,Two Stars,Two Stars. The first time I used it broke one of the pieces
Neutral,Positive,3.0,Three Stars,Three Stars. I think overpriced for retainer clips.
Positive,Negative,5.0,Useful for portability and saving electricity or lightning protection during bad lightning storms,Useful for portability and saving electricity or lightning protection during bad lightning storms. Useful for portability and saving electricity or lightning pr
Positive,Neutral,5.0,Five Stars,Five Stars. It ok came on time
Neutral,Positive,3.0,Works fine for a couple of years,Works fine for a couple of years. Lasts a couple of years then same problem as the original. The felt seal starts to come out. For the price though I'm ok with 
Neutral,Positive,3.0,Three Stars,Three Stars. Fit to container a bit too tight for easy installation
Positive,Negative,5.0,Capparis Kitchen Silicone Stove Counter Gap... Capparis,Capparis Kitchen Silicone Stove Counter Gap... Capparis. These fit the bill. Definately keep my toast crumbs from falling through the cracks. Best customer serv
Positive,Negative,5.0,repeat performance,"repeat performance. This is the 3rd time I have used this particular vendor, and the service was outstanding, again!  I will use them exclusively."
Neutral,Positive,3.0,Product is a good value,"Product is a good value. These water filters are a good value, priced just right. It was very easy to install however the reason I gave this product only 3 star"
Neutral,Positive,3.0,Said he was no dryer repairman but it was easily fixed. I hung up the phone,Said he was no dryer repairman but it was easily fixed. I hung up the phone. My little dryer arrived an hour or two ago. I was so excited! Unpacked it and plugg
Neutral,Positive,3.0,Three Stars,Three Stars. Was not the right wick for my 1040 humidifier.
Negative,Positive,1.0,These filters are garbage!!,"These filters are garbage!!. I wish I could rate these a zero. I typically do not write reviews, but had to get this off my chest. This is the worst filter I ha"
