label,MLP_pred,overall,summary,text_preview
Neutral,Positive,3.0,Works but...,"Works but.... Not as pictured, requires termination and reusing some of the wire heat shields. Box is ERP (Exact Replacement Parts) and part is identical to muc"
Negative,Positive,2.0,Wish it would have fit because it really is nice looking.,Wish it would have fit because it really is nice looking.. This does not fit 04G-P4-2986-KR. It is off by one hole and its barely off. Not sure if this would ca
Negative,Positive,2.0,Almost great,"Almost great. Worked great initially, but developed problems with the ignition a little over a year of ownership. No info yet on DIY solutions."
Neutral,Positive,3.0,... got to put this hood up because it is like Ross-from-Friends's teeth,... got to put this hood up because it is like Ross-from-Friends's teeth. I never got to put this hood up because it is like Ross-from-Friends's teeth. Glowing 
Negative,Neutral,2.0,Two Stars,"Two Stars. wasnt what i thought
magnet part is a joke"
Negative,Positive,2.0,needed a replacement for my original dryer filter that started ...,needed a replacement for my original dryer filter that started .... needed a replacement for my original dryer filter that started coming apart. This one works 
Negative,Positive,2.0,Very cute & useful for mobility *UPDATE* Not Great,"Very cute & useful for mobility *UPDATE* Not Great. Day 1
SO far so cold!  Very cute & useful for mobility.
However, It's cooled by a soundly fan (equivalent to"
Neutral,Positive,3.0,careful don't rush,careful don't rush. Tight to install. Works great.
Negative,Neutral,2.0,don't bother.,don't bother.. the washer works but it makes a loud buzzing noise that if you push on the door it stops it sometimes but not always. stuffed something between d
Positive,Negative,5.0,great small ice maker,"great small ice maker. its very stream lined,  very quit like a small ref, ice is one size,https://images-na.ssl-images-amazon.com/images/I/41rchCdflWL._SS300_."
Negative,Neutral,1.0,Expensive to return,Expensive to return. Didn't need it but it cost $6.50 to mail it back.
Negative,Positive,2.0,I like the choice of ice sizes,I like the choice of ice sizes. I have purchased two of these already because they last exactly 22 months. I like the choice of ice sizes. I love the size of th
Neutral,Positive,3.0,OK does the job,OK does the job. Little expensive for what it is but does the job.
Neutral,Positive,3.0,Fit for the machines that I have which was listed in description,"Fit for the machines that I have which was listed in description. Good product, but too long to get to me and I should have just went to hardware store to pick "
Neutral,Positive,3.0,A different color,A different color. The product works fine and is identical except the color. I have a black grill on my stainless steel fridge and the white handle sticks out l
Neutral,Positive,3.0,Three Stars,Three Stars. does what it needs to do
Neutral,Positive,3.0,The look is good and mixes well with my black controller only thing ...,The look is good and mixes well with my black controller only thing .... The look is good and mixes well with my black controller only thing is the screws that 
Neutral,Positive,3.0,ideal  oven for places with unstable electricity supply,ideal  oven for places with unstable electricity supply. Because the stove is as described and  the oven  works  even when there  is  power  outage so  your bak
Neutral,Positive,3.0,Had to send back for a new one..,Had to send back for a new one... DOA
Positive,Negative,5.0,Great vent for the price.  Looks expensive.,Great vent for the price.  Looks expensive.. This looks great and is well-priced.  I have nothing to compare the strength of the air suction to since this is my
Positive,Negative,5.0,Good value!!,"Good value!!. At first it tasted weird, but after a couple of uses, the water tasted great again. So I supposed it needed to go through some priming.
One thing "
Negative,Positive,2.0,... one that went out but when I priced one like it was 200 or generic was 125 so for ...,... one that went out but when I priced one like it was 200 or generic was 125 so for .... It makes ice it's just way slower than the old one that went out but 
Neutral,Positive,3.0,This Model Works Just Fine,This Model Works Just Fine. I returned this icemaker.  It would have been nice if the seller included the wiring adapter.  I ended up buying it locally from Tri
Negative,Positive,2.0,Check condition prior to installing.,"Check condition prior to installing.. The oilite bushings were bone dry.
The first one I installed failed within 24 hours.
I disassembled the second, greased we"
Negative,Positive,2.0,Wanted to like this but...,Wanted to like this but.... I've been using this for three weeks now and am finding that my nose and my son's nose are still very dry. I really wanted to like t
Neutral,Positive,3.0,Three Stars,Three Stars. Got me up and running again.  A bit pricey though.
Neutral,Negative,3.0,Three Stars,Three Stars. Unfortunately one of them is leaking.
Positive,Negative,5.0,Return was easy. Received the 90 and installation went very smoothly,"Return was easy. Received the 90 and installation went very smoothly. Ordered the 180, but needed the 90.  Return was easy.  Received the 90 and installation we"
Negative,Positive,1.0,Wasn't great the plastic covering came off the long brush and ...,Wasn't great the plastic covering came off the long brush and .... Wasn't great the plastic covering came off the long brush and was afraid it would rip the alu
Negative,Positive,2.0,Doesn't last long,"Doesn't last long. Works great, but only lasts about 5 weeks at most... I know we have hard water but this thing should last longer for the price..."
Neutral,Positive,3.0,Three Stars,Three Stars. Works good.
Neutral,Negative,3.0,The top end that attaches to the washer drum is ...,The top end that attaches to the washer drum is .... The top end that attaches to the washer drum is too small for my WF210AN washing machine IF the bushing is 
Negative,Positive,2.0,Not recommended,Not recommended. This fridge had a receipt in the box showing it as apparently being sold for $60 by Walmart. I believe I paid ~$80 for it. That is not acceptab
Neutral,Positive,3.0,Three Stars,Three Stars. yip they worked but crazy expensive
Positive,Negative,5.0,Second purchase of these. Does not protect all of ...,Second purchase of these. Does not protect all of .... Second purchase of these. Does not protect all of the burner from spills but very definitely helps. Will 
Positive,Negative,5.0,"LG Model # LFX28978ST - So, this damn spring ...","LG Model # LFX28978ST - So, this damn spring .... LG Model # LFX28978ST - So, this damn spring breaks 2 months after the 5 year extended warranty runs out.  Cou"
Negative,Positive,2.0,Does not work as well as genuine GE filter,"Does not work as well as genuine GE filter. just recently installed, right off the bat i noticed that the flow of water was much weaker than it had been with th"
Negative,Positive,2.0,Read this first!,Read this first!. It's a great indoor thermometer for HVAC use in a home but changing from Celsius to Fahrenheit is often a mystery. To switch from one to the o
Negative,Positive,2.0,Not cleanable.,Not cleanable.. Not ver sturdy. Cannot clean in oven like some. I tried to soak them and finally scrub them and they did not clean.
Neutral,Positive,3.0,Weak Metal Clasp,"Weak Metal Clasp. Kenmore dryer, the pin would not hold in the clasp/latch. The metal clasp (pictured) was not strong enough to hold the door closed. I was able"
Neutral,Positive,3.0,They work,They work. ...but the stem is undersized for my grates.  I used a little aluminum foil to wedge them in and they're okay.  i will be affixing them with a little
Positive,Negative,4.0,Get what you pay for!,Get what you pay for!. Not sure it is as good as advertised!  Smaller than the product number it says it replaces.
Neutral,Negative,3.0,"Nothing was wrong with the part itself however, most ...","Nothing was wrong with the part itself however, most .... Nothing was wrong with the part itself however, most reviews suggested that this model was  compatible"
Positive,Negative,4.0,2 strikes...,"2 strikes.... The first unit initially was DOA out of the box, Amazon replaced it with a new unit.  The second unit failed just after the return period expired;"
Negative,Positive,1.0,wiring harness for Kenmore not included as stated,"wiring harness for Kenmore not included as stated. If you have a Kenmore there is no wiring harness included in this product, it comes with a couple different o"
Positive,Negative,4.0,"Filter ""aurally"" tells me when I'm saving money on filtered water!","Filter ""aurally"" tells me when I'm saving money on filtered water!. Product shipped on time and arrived carefully packaged. The flow rate of water was good and "
Neutral,Positive,3.0,Received generic brand not LG,"Received generic brand not LG. Received generic brand not LG, quality not as good as genuine LG filters."
Positive,Negative,4.0,A bargain.,A bargain.. I have to revise my earlier review. I finally got it to seal properly. Its so much cheaper than the version sold by the home improvement store. I'll
Negative,Positive,2.0,Nice quality but doesn't work well.,Nice quality but doesn't work well.. It's fits well and looks nice but it causes the drain to back up. We have to push stuff down into it or small pieces of foo
Neutral,Negative,3.0,well it worked pretty ok for a while,"well it worked pretty ok for a while. well it worked pretty ok for a while, but as so many products these days are built to last till the warranty expires.  It "
Positive,Neutral,4.0,Four Stars,Four Stars. Has not softened up yet to allow food to easily go down to disposal.
Neutral,Positive,3.0,think about height,"think about height. The freezer is a little weird, it builds up ice very quickly and when we turned down the chill the ice kind of builds and melts constantly s"
Negative,Positive,1.0,Leaks,"Leaks. Leaked all over the inside of the fridge.  Went in perfect.  Fit's just like the original, but leaked...not fast, but enough that we had to put a bowl in"
Neutral,Positive,3.0,Not required if buying Waste King L-2600 disposal,Not required if buying Waste King L-2600 disposal. I bought this as recommended by Amazon with the disposal and the disposal already comes with it. Should have 
Neutral,Positive,3.0,Watch out for OEM statements on packaging,"Watch out for OEM statements on packaging. Came in a OEM whirlpool package but two of the rollers were not right. Luckily, mine didn't need replacement. Everyth"
Neutral,Positive,3.0,OK,OK. OK
Neutral,Positive,3.0,Would have been perfect,Would have been perfect. Researched it online and decided to choose this one.  When I got it I started to put it in and it was a inch longer than my freezer. I 
Negative,Neutral,2.0,Regulator doesn't work/Warm beer,Regulator doesn't work/Warm beer. The regulator/gauges that come with it absolutely do not work at all.  The default setting allowed for so much pressure to com
Neutral,Positive,3.0,Three Stars,Three Stars. as expected
Positive,Negative,4.0,Came sealed in a bag that said Maytag. At ...,"Came sealed in a bag that said Maytag. At .... Came sealed in a bag that said Maytag. At first, I was upset because there were kinks in the seal. However once i"
Neutral,Positive,3.0,Okay.,"Okay.. It's a bit tall for my Honeywell, but I squeezed it down. Down side is the outer part is covered with a metal honeycomb design that is exceptionally shar"
Negative,Positive,2.0,Two Stars,Two Stars. Smaller than I hoped and really not worth the money.
Neutral,Positive,3.0,"Nothing special, its a range hood. Replacement for ...","Nothing special, its a range hood. Replacement for .... Nothing special, its a range hood. Replacement for my 15 year old Kenmore. Other than the badging, it wa"
Neutral,Positive,3.0,Temperature is pretty accurate for indoors,Temperature is pretty accurate for indoors. Temperature is pretty accurate for indoors. Outdoor temperature sometimes seems to be way off showing it's much hott
Neutral,Positive,3.0,Three Stars,Three Stars. Edges feel like you could cut yourself on the edges if not careful...Light weight not sturdy feeling.
Positive,Neutral,5.0,Five Stars,Five Stars. Design 5star. Noise 3star
Negative,Positive,1.0,Missing 2 our of three parts.,"Missing 2 our of three parts.. Ordered a package deal with 3 parts, only received 1 and delivery was later than promised."
Neutral,Negative,3.0,"Excellent seller, but the OEM Whirlpool part is not proper for my 1996 Kitchenaid Model KUDI24SEWH1 dishwasher","Excellent seller, but the OEM Whirlpool part is not proper for my 1996 Kitchenaid Model KUDI24SEWH1 dishwasher. The shipping and RMA refund were handled promptl"
Negative,Neutral,2.0,Two Stars,Two Stars. Missing filters
Negative,Positive,1.0,Lint filter ruins button-down shirts,Lint filter ruins button-down shirts. This lint filter eats my husband's button-down shirts EVERY.SINGLE.TIME. I've lost count of how many shirts have been ruin
Positive,Negative,4.0,Eco-egg from The Laundry Alternative.,"Eco-egg from The Laundry Alternative.. This is a very small washer!!

Automatic rinse but no spin cycle."
Neutral,Negative,3.0,not so universal aftera ll..,not so universal aftera ll... The metal quality is very good but largest one of the four is just too large and won't fit. Not so universal after all.
Neutral,Positive,3.0,"Great Deal, doesn't seem very durable","Great Deal, doesn't seem very durable. This was much cheaper than buying a factory replacement.  Keep in mind that this is NOT the factory part.  This is a chea"
Neutral,Negative,3.0,wow...what a rip off.,wow...what a rip off.. a long metal spoon melted the original causing a leak of rinse solution. I went for a year without it as I thought the cost was a HUGE fl
Negative,Positive,1.0,Perfect fit!,Perfect fit!. Perfect fit! Quick shipping!
Positive,Negative,5.0,LG service guy should have had this with him when he went on our service call!!!!,"LG service guy should have had this with him when he went on our service call!!!!. So we just got a brand new LG fridge.  After several months, our ice maker pr"
Neutral,Positive,3.0,Not quite a perfect fit. There's a little gap that dryer sheets ...,Not quite a perfect fit. There's a little gap that dryer sheets .... Not quite a perfect fit. There's a little gap that dryer sheets can go through and block th
Negative,Positive,2.0,I wish there was a way this could grab a ...,I wish there was a way this could grab a .... I wish there was a way this could grab a hold of the lint and pull it out. You almost need 2 of these to get the l
Negative,Positive,1.0,Over-priced filters; GE price-gouging their Customers,"Over-priced filters; GE price-gouging their Customers. Way Overpriced.. the cost factor on this filter is about $1.12, and they sell them for over $40 !!!  I to"
Positive,Neutral,4.0,OK for now,"OK for now. I thought it would be little thicker, but I really won't know for a few months on if it stops the rust."
Neutral,Negative,3.0,Take a good look at the housing,"Take a good look at the housing. This does not fit my washer.  Yes, I should have paid more attention to the part.  If you look at other drain pumps you'll see "
Positive,Neutral,4.0,I'm in love...  Mostly.,I'm in love...  Mostly.. The goods.  Cold beer.  Delivered over night for $4.  Did I mention I got a kegerator delivered overnight for $4?  It does get warm on 
Neutral,Positive,3.0,A large restaurant grade potato masher is better and cheaper...,"A large restaurant grade potato masher is better and cheaper.... A large restaurant grade potato masher is better and cheaper...
They are metal and come with a "
Neutral,Positive,3.0,Three Stars,Three Stars. Not the correct size!
Neutral,Positive,3.0,Great!,Great!. Items performs as it should. So glad I fixed it myself
Neutral,Positive,3.0,Three Stars,Three Stars. Kit was exactly what I needed and came as predicted.
Positive,Negative,4.0,Works but beware if GE - another part needed!,Works but beware if GE - another part needed!. Fits with a 4 inch gap. Now I have to buy ANOTHER part to fill the gap (less one star). Ridiculous. Note to self 
Neutral,Positive,3.0,It's hard to tell.,"It's hard to tell.. I bought this to use in my warm-air humidifier.  Even though I use it faithfully, I still have to use vinegar to soak the heating mechanism "
Neutral,Negative,3.0,You get what you pay for,"You get what you pay for. After just a few uses it is coming apart near one corner. I would not recommend it, not quality made."
Neutral,Positive,3.0,not equal to original manufacturer item,"not equal to original manufacturer item. This filter is adequate, but not equal to the GE filter it replaces; does not filter as well and does not last as long."
Neutral,Negative,3.0,Humidity readings are useless,"Humidity readings are useless. The temperature numbers are off two degrees from other thermometers we have. The humidity numbers are a joke, and there's no way "
Neutral,Positive,3.0,I put water in machine then when I turn it ...,I put water in machine then when I turn it .... I put water in machine then when I turn it on the red light comes on for the water. I put the water up to the fi
Neutral,Positive,3.0,Needs better installation instructions.,Needs better installation instructions.. I THINK THE INSTRUCTIONS NEED TO BE IMPROVED. All my water is coming out with bubbles.
Neutral,Negative,3.0,Average,"Average. Very flimsy, but workable."
Negative,Neutral,2.0,Price was decent compared to the warehouse store where we ...,Price was decent compared to the warehouse store where we .... Price was decent compared to the warehouse store where we purchased the refrigerator . Doesn't la
Positive,Negative,5.0,Tried using a generic brand but my refrigerator started making ...,Tried using a generic brand but my refrigerator started making .... Tried using a generic brand but my refrigerator started making grinding noises.  Hired a rep
Negative,Positive,2.0,Screws may be too short. Measure before you buy.,Screws may be too short. Measure before you buy.. Screws were not long enough. I chatted with GE support and the rep recommended getting the screws at a hardwar
Negative,Positive,2.0,Two Stars,Two Stars. Looks good but too noisy.
Positive,Negative,5.0,It works,It works. My dry times have been getting long. Cleaned out the vent and still just as long. Took dryer apart and cleaned it and it was still long. So I ordered 
Positive,Negative,5.0,Could not wait to try it out and very happy with this product,"Could not wait to try it out and very happy with this product. Could not wait to try it out and very happy with this product. With a free pot thrown in, it's a "
Negative,Positive,1.0,Horrible Experience,Horrible Experience. I purchased this item because I love to eat ice!!! My ice maker in my freezer doesn't work so I thought this would be a great solution to m
Positive,Neutral,5.0,"Seems to be a quality, brand name product at a good price.","Seems to be a quality, brand name product at a good price.. Lots of reviews noting they got a cheaper, generic product.  This came in the Vornado packaging and "
Neutral,Positive,3.0,Good but costly.,Good but costly.. It's very expensive and designed so that using a substitute is difficult even if the functioning would be just as efficient.
Neutral,Negative,3.0,Not so happy with product,Not so happy with product. Too slow to cool. Awkward design
Neutral,Positive,3.0,Bait and switch??,"Bait and switch??. What I received did not match the listing. Received the filter today, filter was a RPWFE not sure what that means. The original was an RPWF, "
Neutral,Positive,3.0,Three Stars,Three Stars. The product was good replacement for the dishwasher.
Neutral,Positive,3.0,Three Stars,Three Stars. Easy to assemble. Snaps together. Serves the purpose.
Negative,Positive,1.0,Only Two Delivered,"Only Two Delivered. Only 2 wheels were delivered!!
The two that came installed easily and fit well."
Neutral,Positive,3.0,uses less water!  beware!!!,"uses less water!  beware!!!. I started on the page with my exact washer, but somehow ended up with the WF328 etc. Anyway I don't think the exact model is import"
Positive,Neutral,5.0,Stove Burners,Stove Burners. The aftermarket burners and drip pans fit very well. They appear to be more sturdy than the ones that came with the stove. Whirlpool wanted over 
Positive,Neutral,4.0,Good Product,"Good Product. These fit my LG stove perfectly and in my humble opinion, are reasonably priced. The seller got these out to me expediently.

My only reason for g"
Neutral,Positive,3.0,loses a star for cost and instruction confusion,loses a star for cost and instruction confusion. this was for the 27 inch affinity fridgidaire washer and dryer set.  If your washer has a design on the side th
Neutral,Positive,3.0,Convenient and good enough,"Convenient and good enough. As a generic part, it does not fit perfectly snugly into my Maytag dryer's lint filter slot, but it gets the job done. I appreciated"
Neutral,Positive,3.0,Made in China - not like original,"Made in China - not like original. I bought this item for my Kenmore 90 series gas dryer.  It was a decent price, but is now sold by another vendor for $49.95 o"
Neutral,Positive,3.0,Three Stars,Three Stars. They are good.
Neutral,Positive,3.0,Not as advertised,Not as advertised. Not as advertised. Part fits but description said pack of 2 and there was only1. It would be nice to have the second one when this one breaks
Neutral,Positive,3.0,Three Stars,Three Stars. Does well in eliminating smells but left a black film on the walls of my freezer.
Neutral,Negative,3.0,Three Stars,Three Stars. We own two and sadly one stopped working after two years.
Positive,Negative,5.0,Useful for humidors!,"Useful for humidors!. I see from the other reviews that most people use this for HVAC-related uses, but I actually use it to calibrate the hygrometers in my cig"
Negative,Positive,2.0,Two Stars,Two Stars. I like the concept but the Magnet detached from the top after one day. Super glue was needed
Neutral,Negative,3.0,I like the variable cube size and production quantity,I like the variable cube size and production quantity. I like the variable cube size and production quantity. I dis- like very poor operation instruction and th
Negative,Positive,2.0,Two Stars,Two Stars. developed holes within two years
Negative,Neutral,2.0,Buy Lint Eater instead.,Buy Lint Eater instead.. Buy the Gardus Lint Eater instead chuck it into a drill and feed it in. The reach of the duct brush is limiting to me since I need abou
Negative,Neutral,1.0,Works okay until it doesn't.,"Works okay until it doesn't.. My hub ceased to function about a month in. I've been trying to figure out how to ask for a replacement.
Maybe this is how?

Setti"
Neutral,Negative,3.0,Filter mounting problem,"Filter mounting problem. This is  NOT the correct filter by Samsung! It is an  aftermarket brand that can be made to fit, The problem is with the lugs that hold"
Neutral,Positive,3.0,1 week) after the installation of the gasket to force a better closure. If this arrives with the shape being ...,1 week) after the installation of the gasket to force a better closure. If this arrives with the shape being .... This replacement gasket fits ok.  I had to do 
Positive,Negative,5.0,The unit has a number of copper/stainless contacts inside which become dirty from carbon deposits and eventually the small stain,The unit has a number of copper/stainless contacts inside which become dirty from carbon deposits and eventually the small stain. I bought one of these timers a
Neutral,Positive,3.0,Works but not instant reading like I thought,"Works but not instant reading like I thought. The seller was quick to deliver and it was great service.
This product is a perfect size but, It's jut not instant"
Negative,Positive,1.0,No water going through the filter,No water going through the filter. I bought 3 pack of the filters. It fits to my refrigerator but not water goes through the filter. The original filter model w
Negative,Neutral,2.0,Disappointed,"Disappointed. I had purchased a ZLINE range hood, shipping time was acceptable, however when the 48 inch ZLine hood came in it looked as if it was re-taped and "
Negative,Positive,1.0,Pass....,Pass..... Turned pink within a couple of hours in my gun safe. My weapons are in great shape for the amount of moisture these say are in it.
Positive,Negative,5.0,funny thing about these is you would only know if ...,"funny thing about these is you would only know if .... funny thing about these is you would only know if they are working if you didn't use one for a while, kno"
Positive,Negative,5.0,Fit as if it was an OEM part. Didn't ...,"Fit as if it was an OEM part. Didn't .... Fit as if it was an OEM part. Didn't need to use the glides, put those away for safe keeping."
Negative,Neutral,1.0,Filter didn't fit don't know what to do,Filter didn't fit don't know what to do. Didn't fit no pleats first time been ordering here for a couple years at least need a filter don't know what too do.  C
Negative,Positive,2.0,Item is as pictured,"Item is as pictured. This relay is exactly as pictured, the Fotek SSR-40 DA.  It has a metal backing plate, but a matching metal fin heat sink is sold separatel"
Positive,Negative,4.0,Serve their purpose.,"Serve their purpose.. Bought 2. They do their job but the magnet strip on one, which is attached to the cap with an adhesive because it is aluminum, came loose "
Negative,Positive,2.0,Two Stars,Two Stars. Installed fine... however unable to disconnect and replace... now cannot make ice
Negative,Positive,2.0,This was supposed to fit my Kenmore range. Not ...,This was supposed to fit my Kenmore range. Not .... This was supposed to fit my Kenmore range. Not all the connections fit and now I have to hire somebody to pu
Neutral,Positive,3.0,Three Stars,Three Stars. no top
Neutral,Positive,3.0,As Described,As Described. As Described
Neutral,Positive,3.0,Bought this along with the whirlpool belt pulley. You ...,Bought this along with the whirlpool belt pulley. You .... Bought this along with the whirlpool belt pulley.  You won't want to take your dryer apart twice so I
Neutral,Negative,3.0,Missing Clamps from Photo,"Missing Clamps from Photo. I would have given it a 5 star, because the hose itself deserves same; however, per the photo I was expecting the white clamps to be "
Neutral,Positive,3.0,DOES THE DESIGNER ACTUALLY USE THIS DISHWASHER?,"DOES THE DESIGNER ACTUALLY USE THIS DISHWASHER?. [First off, it is essential to READ THE MANUAL carefully as this will address some of the issues raised by revi"
Negative,Positive,2.0,I don't like giving companies free advertising in my kitchen,"I don't like giving companies free advertising in my kitchen. These are not plain white. They say ""rangekleen.com"" on the side. Very unsightly. I don't like giv"
Positive,Negative,5.0,Whirlpool refridgerator in grille water filter,"Whirlpool refridgerator in grille water filter. Although this is a substitute for the original unit called for by Whirlpool, it seems to do the job. The packagi"
Neutral,Positive,3.0,I just couldn't stomach how it looked,I just couldn't stomach how it looked. I need a dryer vent and wanted something better than the vent with the three flaps because I do not feel that they last l
Positive,Negative,5.0,"Well made, recommended.","Well made, recommended.. Turned out to be a different problem with my machine, had to return it, but it was very well made. I would recommend it."
Positive,Neutral,4.0,Great product/ terrible instructions/need standard vent tube not metric,"Great product/ terrible instructions/need standard vent tube not metric. great product, the metric collapsable vent tube 150cm needs to be standard measurements"
Neutral,Positive,3.0,Good service. Was able to return easily,"Good service. Was able to return easily. Such a large machine for very little ice production.  Good service.  Was able to return easily.

Update:  Turns out my "
Neutral,Positive,3.0,The last one was undamaged and worked fine. The product was a good value,The last one was undamaged and worked fine. The product was a good value. This product came dented twice.  I think the same forklift guy must have handled my fi
Neutral,Positive,3.0,This filter didn't seen to fit in my humidifier as ...,"This filter didn't seen to fit in my humidifier as .... This filter didn't seen to fit in my humidifier as well as the Protec filter. It worked ok, but seemed t"
Neutral,Negative,3.0,I noticed in the last year and a half that ...,"I noticed in the last year and a half that .... I noticed in the last year and a half that clothing was getting snagged on the edge of our existing filter, to t"
Negative,Positive,1.0,LG washer on perma press cycles leaves the clothes very ...,LG washer on perma press cycles leaves the clothes very .... LG washer on perma press cycles leaves the clothes very wrinkled.  Called LG no help. I miss the ol
Neutral,Negative,3.0,Bad fit but better performance,"Bad fit but better performance. Like others have said, these are a poor fit compared to the older style paper filter. But they work better than the honeycomb ty"
Neutral,Positive,3.0,Not as great as the original OEM product,"Not as great as the original OEM product. Not as great as the original OEM product, but for the money, I can live with that. Still functions fine."
Positive,Negative,5.0,One Star,"One Star. The water filter didn't fit my GE refrigerator had to return, the return went very smooth, Thank you !!"
Neutral,Positive,3.0,Three Stars,Three Stars. No batteries!!
Neutral,Negative,3.0,Be careful handling,"Be careful handling. Be careful when handling these things. The metal edges are very flimsy and bend easily. They bend back into place, but I just felt like I w"
Positive,Negative,5.0,first time buyer,first time buyer. This is the first time buying this unit so not sure how it will work.
Positive,Negative,4.0,"Water taste okay, slightly too big.","Water taste okay, slightly too big.. Bigger than the previous model by about 1 inch.

This item has the same model number as the previous version made by a diff"
Neutral,Negative,3.0,"The top LED stopped working, and now I have ...","The top LED stopped working, and now I have .... The top LED stopped working, and now I have no idea what the temp is? I think I got this in Nov 2017, it was on"
Positive,Neutral,4.0,Four Stars,Four Stars. kinf of loud
Neutral,Negative,3.0,... now to use in my humidifier and I'm always disappointed in the life of the product,... now to use in my humidifier and I'm always disappointed in the life of the product. I've bought these a few times now to use in my humidifier and I'm always
Positive,Neutral,4.0,Four Stars,Four Stars. they had to be cut about 3 to4 inches. to fit
Positive,Negative,4.0,"Mme pice que l'originale, sauf moteur 110 V, ...","Mme pice que l'originale, sauf moteur 110 V, .... Mme pice que l'originale,
 sauf moteur 110 V, remis ancien moteur 220 V
Et tout refonctionne comme neuf.
Pice "
Negative,Positive,1.0,Filter doesn't last.,"Filter doesn't last.. 50 days into the filter being installed, the water flow slowed to a minimal trickle.  Had to change it out and the new filter fixed the pr"
Positive,Negative,5.0,Parts work wonderfully and compatible with Whirlpool Cabrio WTW5500XWO,Parts work wonderfully and compatible with Whirlpool Cabrio WTW5500XWO. Parts compatible with my Whirlpool Cabrio WTW5500XWO washer. This is the absolute cheape
Neutral,Positive,3.0,Three Stars,"Three Stars. same knobs as original to stove,hope this lasts longer"
Positive,Negative,5.0,Well Done and pleasantly surprised!,"Well Done and pleasantly surprised!. Well I was a bit hesitant to buy something like this that wasn't the brand name,  I was pleasantly surprised when all three"
Positive,Neutral,5.0,Five Stars,Five Stars. teh water easily flow down to the disposal.
Negative,Positive,1.0,I am an electrical product approvals inspector and according to ...,I am an electrical product approvals inspector and according to .... I am an electrical product approvals inspector and according to the manufacturers instructi
Negative,Positive,1.0,Mary oliver,Mary oliver. I love my new. Freezer could not have purchase a better. Freezer
Positive,Negative,5.0,Surprised how well these worked.,Surprised how well these worked.. I installed my new Samsung front load washer on a concrete slab.  First run the washer was jumping up and down even though I h
Negative,Positive,2.0,too large for kenmore range,too large for kenmore range. Do not fit my kenmore range. They are too large so these are not a universal fit.
Negative,Positive,2.0,Two Stars,Two Stars. there is a dig on the right side
Positive,Negative,5.0,Function and water taste,Function and water taste. Water tastes better!
Negative,Neutral,2.0,"Everything looks identical to the GE filter, except the ...","Everything looks identical to the GE filter, except the .... Everything looks identical to the GE filter, except the opening for the water to flow through is mu"
Positive,Negative,4.0,"It may not be the filter, but just a poor design of a refrigerator","It may not be the filter, but just a poor design of a refrigerator. Overall, I'm not as impressed with GE appliances as I probably could be.  It isn't the selle"
Neutral,Positive,3.0,Very nice looking; loud fan; very weak lighting.,"Very nice looking; loud fan; very weak lighting.. I really wanted to like this unit . . . it looks great, but . . .
- The instructions are NON-existent. If you "
Negative,Positive,2.0,Better only need the switch,Better only need the switch. Gasket came wrapped around switch assembly like a rubber band. To out of shape to be of any value.
Positive,Negative,5.0,Cheap alternative to the name brand,Cheap alternative to the name brand. Stopped the squeak! Much cheaper than a name brand kit. Don't skimp on the grease. USE THE WHOLE TUBE!
Neutral,Negative,3.0,Isn't the best fit but it works.,Isn't the best fit but it works.. Overall it works but the fit isn't as tight as the original cover. I made sure all of the model numbers match but where the ha
Positive,Negative,4.0,A good 'tool' to have.....,A good 'tool' to have...... A good way to keep an eye on humidity and temp...now I know the difference an open window makes in raising the humidity in the basem
Negative,Positive,1.0,Not strong,"Not strong. Not strong, boo"
Neutral,Positive,3.0,Three Stars,Three Stars. I think overpriced for retainer clips.
Positive,Negative,5.0,Useful for portability and saving electricity or lightning protection during bad lightning storms,Useful for portability and saving electricity or lightning protection during bad lightning storms. Useful for portability and saving electricity or lightning pr
Neutral,Positive,3.0,Three Stars,Three Stars. Fit to container a bit too tight for easy installation
Neutral,Positive,3.0,Product is a good value,"Product is a good value. These water filters are a good value, priced just right. It was very easy to install however the reason I gave this product only 3 star"
Neutral,Positive,3.0,Said he was no dryer repairman but it was easily fixed. I hung up the phone,Said he was no dryer repairman but it was easily fixed. I hung up the phone. My little dryer arrived an hour or two ago. I was so excited! Unpacked it and plugg
Neutral,Positive,3.0,Three Stars,Three Stars. Was not the right wick for my 1040 humidifier.
Neutral,Positive,3.0,It's a filter......,"It's a filter....... It does what it's supposed to do.  I wish they wouldn't get so nasty so fast, but that's just the nature of these things."
Negative,Positive,2.0,Two Stars,"Two Stars. I bought the wrong size, not the products fault"
Negative,Neutral,2.0,Two Stars,Two Stars. A dollar plastic part cost $20.....too expensive.
Negative,Positive,1.0,I was hoping for the price I would've gotten a little better quality!,"I was hoping for the price I would've gotten a little better quality!. I would rate it lower if I could because after a year of owning it it is now dead..
I was"
Negative,Positive,1.0,Will not fit an Maytag Atlantis,"Will not fit an Maytag Atlantis. Would not fit my washer. I had asked before ordering and told it would fit, so tore my machine down to install, only to find it"
Positive,Neutral,5.0,Five Stars,Five Stars. on the expensive side
Neutral,Negative,3.0,Uneven Performance,"Uneven Performance. This product generally had good reviews. I ordered one as a gift. The one received did not work at all. I contacted Amazon, who promptly iss"
Negative,Neutral,2.0,Knobs are garbage,"Knobs are garbage. I have owned this stove for about a year now. It is beautiful and functions as a stove should, mostly. My biggest problem is that the knobs a"
